Subtotal Area	DEANNA LORRAINE	JOHN DENNIS	NANCY PELOSI	AGATHA BACELAR	SHAHID BUTTAR	TOM GALLAGHER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9251 - Vote By Mail	2	39	305	2	26	3	792	392	0	0	15	377	0
Precinct 9251 - Election Day	4	24	176	2	19	5	174	236	0	0	6	230	0
Precinct 9251	6	63	481	4	45	8	966	628	0	0	21	607	0
Precinct 9252 - Vote By Mail	1	54	271	7	23	5	811	382	0	0	21	361	0
Precinct 9252 - Election Day	3	13	127	0	24	4	142	179	0	0	8	171	0
Precinct 9252	4	67	398	7	47	9	953	561	0	0	29	532	0
Precinct 9253 - Vote By Mail	6	41	204	3	28	3	599	300	0	5	10	285	0
Precinct 9253 - Election Day	1	25	102	3	11	1	162	150	0	0	7	143	0
Precinct 9253	7	66	306	6	39	4	761	450	0	5	17	428	0
Precinct 9254 - Vote By Mail	4	32	321	3	37	2	758	415	0	1	15	399	0
Precinct 9254 - Election Day	4	9	150	0	18	3	163	197	0	0	13	184	0
Precinct 9254	8	41	471	3	55	5	921	612	0	1	28	583	0
Precinct 9255 - Vote By Mail	4	19	137	4	19	1	436	196	0	1	11	184	0
Precinct 9255 - Election Day	0	6	104	1	14	2	114	135	0	0	8	127	0
Precinct 9255	4	25	241	5	33	3	550	331	0	1	19	311	0
Precinct 9256 - Vote By Mail	1	14	128	0	18	2	367	169	0	0	6	163	0
Precinct 9256 - Election Day	2	8	94	1	11	1	95	119	0	0	1	118	1
Precinct 9256	3	22	222	1	29	3	462	288	0	0	7	281	1
Precinct 9257 MB - Vote By Mail	2	9	112	2	27	3	359	162	0	0	7	155	0
Precinct 9257 MB - Election Day	0	0	9	0	4	0	-39	13	0	0	0	13	0
Precinct 9257 MB	2	9	121	2	31	3	320	175	0	0	7	168	0
Precinct 9258 - Vote By Mail	4	25	235	3	30	2	583	307	0	0	8	299	0
Precinct 9258 - Election Day	0	9	107	1	19	3	120	148	0	1	8	139	0
Precinct 9258	4	34	342	4	49	5	703	455	0	1	16	438	0
Precinct 9401 - Vote By Mail	5	23	221	3	83	9	796	358	0	2	12	344	0
Precinct 9401 - Election Day	0	13	150	2	46	5	242	226	0	0	10	216	0
Precinct 9401	5	36	371	5	129	14	1,038	584	0	2	22	560	0
Precinct 9402 - Vote By Mail	2	36	251	12	58	4	775	377	0	0	14	363	0
Precinct 9402 - Election Day	3	12	124	8	39	6	242	207	0	1	14	192	0
Precinct 9402	5	48	375	20	97	10	1,017	584	0	1	28	555	0
Precinct 9403 - Vote By Mail	7	46	214	6	55	4	731	348	0	0	16	332	0
Precinct 9403 - Election Day	3	9	113	4	31	3	190	168	0	0	5	163	0
Precinct 9403	10	55	327	10	86	7	921	516	0	0	21	495	0
Precinct 9404 - Vote By Mail	16	49	205	8	43	7	753	345	0	2	15	328	0
Precinct 9404 - Election Day	5	13	129	4	27	5	191	197	0	0	14	183	0
Precinct 9404	21	62	334	12	70	12	944	542	0	2	29	511	0
Precinct 9405 - Vote By Mail	10	37	182	2	34	3	629	276	0	0	8	268	0
Precinct 9405 - Election Day	2	12	93	3	14	3	151	131	0	0	4	127	0
Precinct 9405	12	49	275	5	48	6	780	407	0	0	12	395	0
Precinct 9406 - Vote By Mail	7	46	211	6	39	6	695	330	0	0	15	315	0
Precinct 9406 - Election Day	6	20	113	1	14	3	188	169	0	0	11	158	1
Precinct 9406	13	66	324	7	53	9	883	499	0	0	26	473	1
Precinct 9407 - Vote By Mail	7	40	223	11	69	6	712	368	0	1	11	356	0
Precinct 9407 - Election Day	0	12	125	3	22	3	201	174	0	2	7	165	0
Precinct 9407	7	52	348	14	91	9	913	542	0	3	18	521	0
Precinct 9408 - Vote By Mail	1	15	208	8	64	10	711	321	0	2	13	306	0
Precinct 9408 - Election Day	1	9	99	3	47	3	152	171	0	0	9	162	0
Precinct 9408	2	24	307	11	111	13	863	492	0	2	22	468	0
Precinct 9409 - Vote By Mail	4	19	139	5	31	8	443	226	0	0	20	206	0
Precinct 9409 - Election Day	1	6	101	3	26	3	158	146	0	0	6	140	0
Precinct 9409	5	25	240	8	57	11	601	372	0	0	26	346	0
Precinct 9411 - Vote By Mail	9	25	243	4	75	7	816	378	0	2	13	363	0
Precinct 9411 - Election Day	3	6	128	3	52	5	191	212	0	0	15	197	0
Precinct 9411	12	31	371	7	127	12	1,007	590	0	2	28	560	0
Precinct 9412 - Vote By Mail	14	43	210	6	41	10	668	339	0	0	15	324	0
Precinct 9412 - Election Day	5	11	130	1	21	5	202	186	0	0	13	173	0
Precinct 9412	19	54	340	7	62	15	870	525	0	0	28	497	0
Precinct 9413 - Vote By Mail	5	45	250	6	39	16	757	375	0	0	14	361	0
Precinct 9413 - Election Day	3	16	110	0	26	5	179	170	0	0	10	160	0
Precinct 9413	8	61	360	6	65	21	936	545	0	0	24	521	0
Precinct 9414 - Vote By Mail	9	46	234	4	44	9	734	361	0	2	13	346	0
Precinct 9414 - Election Day	0	13	92	4	23	4	186	142	0	0	6	136	0
Precinct 9414	9	59	326	8	67	13	920	503	0	2	19	482	0
Precinct 9415 - Vote By Mail	12	42	200	6	40	3	634	315	0	0	12	303	0
Precinct 9415 - Election Day	3	10	87	3	23	3	154	135	0	0	6	129	0
Precinct 9415	15	52	287	9	63	6	788	450	0	0	18	432	0
Precinct 9416 - Vote By Mail	10	42	244	6	53	12	769	391	0	2	22	367	0
Precinct 9416 - Election Day	4	13	105	3	17	2	230	151	0	1	6	144	0
Precinct 9416	14	55	349	9	70	14	999	542	0	3	28	511	0
Precinct 9417 - Vote By Mail	8	44	206	0	41	6	629	321	0	0	16	305	0
Precinct 9417 - Election Day	1	13	82	0	24	2	145	125	0	0	3	122	0
Precinct 9417	9	57	288	0	65	8	774	446	0	0	19	427	0
Precinct 9418 - Vote By Mail	13	50	182	6	30	10	631	310	0	0	19	291	0
Precinct 9418 - Election Day	4	12	92	0	22	5	188	141	0	0	5	136	1
Precinct 9418	17	62	274	6	52	15	819	451	0	0	24	427	1
Precinct 9419 - Vote By Mail	10	74	239	5	19	10	736	369	0	0	12	357	0
Precinct 9419 - Election Day	1	23	92	0	14	1	173	140	0	0	9	131	0
Precinct 9419	11	97	331	5	33	11	909	509	0	0	21	488	0
Precinct 9421 - Vote By Mail	4	54	222	4	35	6	752	338	0	1	12	325	0
Precinct 9421 - Election Day	3	20	98	3	19	3	173	154	0	0	8	146	0
Precinct 9421	7	74	320	7	54	9	925	492	0	1	20	471	0
Precinct 9422 - Vote By Mail	21	68	261	6	33	6	831	413	0	2	16	395	0
Precinct 9422 - Election Day	3	16	146	1	26	5	270	209	0	0	12	197	0
Precinct 9422	24	84	407	7	59	11	1,101	622	0	2	28	592	0
Precinct 9423 - Vote By Mail	7	33	220	5	32	6	714	316	0	3	10	303	0
Precinct 9423 - Election Day	1	20	96	4	29	2	190	158	0	1	5	152	0
Precinct 9423	8	53	316	9	61	8	904	474	0	4	15	455	0
Precinct 9424 - Vote By Mail	12	53	242	7	47	5	799	385	0	1	18	366	0
Precinct 9424 - Election Day	5	13	89	4	28	8	210	154	0	0	6	148	1
Precinct 9424	17	66	331	11	75	13	1,009	539	0	1	24	514	1
Precinct 9425 - Vote By Mail	14	55	193	8	42	9	789	346	0	2	23	321	0
Precinct 9425 - Election Day	0	14	112	1	28	6	187	171	0	0	10	161	0
Precinct 9425	14	69	305	9	70	15	976	517	0	2	33	482	0
Precinct 9426 - Vote By Mail	15	62	197	3	26	5	697	324	0	0	16	308	0
Precinct 9426 - Election Day	1	13	92	4	16	5	156	139	0	0	8	131	0
Precinct 9426	16	75	289	7	42	10	853	463	0	0	24	439	0
Precinct 9427 - Vote By Mail	15	65	228	9	32	7	799	383	0	2	25	356	0
Precinct 9427 - Election Day	5	17	103	1	10	0	188	149	0	0	13	136	0
Precinct 9427	20	82	331	10	42	7	987	532	0	2	38	492	0
Precinct 9428 - Vote By Mail	9	55	216	9	34	12	811	351	0	2	14	335	0
Precinct 9428 - Election Day	6	12	92	1	23	2	179	144	0	0	8	136	0
Precinct 9428	15	67	308	10	57	14	990	495	0	2	22	471	0
Precinct 9429 - Vote By Mail	15	47	199	2	51	9	709	343	0	1	19	323	0
Precinct 9429 - Election Day	2	21	93	1	22	5	197	146	0	1	1	144	0
Precinct 9429	17	68	292	3	73	14	906	489	0	2	20	467	0
Precinct 9431 - Vote By Mail	14	72	266	5	23	11	832	412	0	0	21	391	0
Precinct 9431 - Election Day	1	21	114	2	19	7	204	171	0	0	7	164	0
Precinct 9431	15	93	380	7	42	18	1,036	583	0	0	28	555	0
Precinct 9432 - Vote By Mail	6	55	205	9	37	16	743	358	0	1	29	328	0
Precinct 9432 - Election Day	5	10	100	1	9	2	215	136	0	0	8	128	1
Precinct 9432	11	65	305	10	46	18	958	494	0	1	37	456	1
Precinct 9433 - Vote By Mail	9	61	231	8	28	10	794	373	0	1	25	347	0
Precinct 9433 - Election Day	2	29	70	2	11	5	164	124	0	0	5	119	0
Precinct 9433	11	90	301	10	39	15	958	497	0	1	30	466	0
Precinct 9434 - Vote By Mail	17	50	248	2	39	6	785	387	0	1	24	362	0
Precinct 9434 - Election Day	6	15	145	1	24	4	227	210	0	0	15	195	0
Precinct 9434	23	65	393	3	63	10	1,012	597	0	1	39	557	0
Precinct 9435 - Vote By Mail	5	49	241	8	29	9	779	366	0	3	22	341	0
Precinct 9435 - Election Day	6	15	117	4	29	6	225	186	0	0	9	177	0
Precinct 9435	11	64	358	12	58	15	1,004	552	0	3	31	518	0
Precinct 9436 - Vote By Mail	24	53	238	5	32	8	842	386	0	1	25	360	0
Precinct 9436 - Election Day	3	13	102	3	17	4	226	149	0	0	7	142	0
Precinct 9436	27	66	340	8	49	12	1,068	535	0	1	32	502	0
Precinct 9437 - Vote By Mail	16	53	232	7	35	12	736	376	0	2	19	355	0
Precinct 9437 - Election Day	4	14	101	3	18	3	191	149	0	0	6	143	0
Precinct 9437	20	67	333	10	53	15	927	525	0	2	25	498	0
Precinct 9438 - Vote By Mail	10	78	245	6	47	11	837	419	0	1	21	397	0
Precinct 9438 - Election Day	3	12	68	0	19	3	152	108	0	0	3	105	0
Precinct 9438	13	90	313	6	66	14	989	527	0	1	24	502	0
Precinct 9439 - Vote By Mail	11	47	216	3	33	9	718	343	0	3	21	319	0
Precinct 9439 - Election Day	4	18	87	4	15	3	199	141	0	0	10	131	0
Precinct 9439	15	65	303	7	48	12	917	484	0	3	31	450	0
Precinct 9441 - Vote By Mail	13	53	248	6	42	10	778	396	0	1	23	372	0
Precinct 9441 - Election Day	0	14	114	4	24	4	193	166	0	1	5	160	0
Precinct 9441	13	67	362	10	66	14	971	562	0	2	28	532	0
Precinct 9442 - Vote By Mail	13	61	223	2	39	15	830	379	0	1	25	353	0
Precinct 9442 - Election Day	4	27	145	2	26	2	210	212	0	0	6	206	0
Precinct 9442	17	88	368	4	65	17	1,040	591	0	1	31	559	0
Precinct 9443 - Vote By Mail	7	41	236	4	40	13	759	362	0	1	20	341	0
Precinct 9443 - Election Day	4	11	103	4	15	8	196	152	0	0	7	145	0
Precinct 9443	11	52	339	8	55	21	955	514	0	1	27	486	0
Precinct 9444 - Vote By Mail	12	67	208	5	23	5	768	340	0	3	17	320	0
Precinct 9444 - Election Day	2	11	100	0	13	2	197	134	0	0	6	128	0
Precinct 9444	14	78	308	5	36	7	965	474	0	3	23	448	0
Precinct 9445 - Vote By Mail	13	66	248	10	41	5	829	406	0	0	23	383	0
Precinct 9445 - Election Day	3	13	91	4	22	7	167	147	0	0	7	140	0
Precinct 9445	16	79	339	14	63	12	996	553	0	0	30	523	0
Precinct 9446 - Vote By Mail	11	107	277	2	38	10	900	465	0	1	19	445	0
Precinct 9446 - Election Day	1	14	127	1	22	5	216	178	0	0	8	170	0
Precinct 9446	12	121	404	3	60	15	1,116	643	0	1	27	615	0
Precinct 9447 - Vote By Mail	7	59	256	5	33	13	729	392	0	2	17	373	0
Precinct 9447 - Election Day	6	14	118	4	26	8	192	181	0	0	5	176	0
Precinct 9447	13	73	374	9	59	21	921	573	0	2	22	549	0
Precinct 9448 - Vote By Mail	9	45	220	8	37	10	742	347	0	2	16	329	0
Precinct 9448 - Election Day	1	15	100	4	21	5	198	157	0	0	11	146	0
Precinct 9448	10	60	320	12	58	15	940	504	0	2	27	475	0
Precinct 9449 - Vote By Mail	6	52	201	1	44	10	719	340	0	2	24	314	0
Precinct 9449 - Election Day	3	17	73	1	14	6	162	119	0	1	4	114	0
Precinct 9449	9	69	274	2	58	16	881	459	0	3	28	428	0
Precinct 9451 - Vote By Mail	8	29	107	1	13	3	353	178	0	2	15	161	0
Precinct 9451 - Election Day	1	7	54	1	1	3	88	69	0	0	2	67	0
Precinct 9451	9	36	161	2	14	6	441	247	0	2	17	228	0
Precinct 9452 - Vote By Mail	11	55	213	7	27	10	647	334	0	1	10	323	0
Precinct 9452 - Election Day	3	23	123	1	21	8	195	186	0	0	7	179	0
Precinct 9452	14	78	336	8	48	18	842	520	0	1	17	502	0
Precinct 9501 MB - Vote By Mail	1	12	73	1	3	0	158	92	0	0	2	90	0
Precinct 9501 MB - Election Day	0	1	1	0	1	0	-8	3	0	0	0	3	0
Precinct 9501 MB	1	13	74	1	4	0	150	95	0	0	2	93	0
Precinct 9502 MB - Vote By Mail	0	9	98	1	21	3	294	136	0	1	3	132	0
Precinct 9502 MB - Election Day	0	0	2	0	3	0	-43	6	0	0	1	5	0
Precinct 9502 MB	0	9	100	1	24	3	251	142	0	1	4	137	0
Precinct 9503/9504 - Vote By Mail	1	8	209	4	23	4	550	263	0	1	13	249	0
Precinct 9503/9504 - Election Day	2	5	97	0	10	3	150	122	0	0	5	117	0
Precinct 9503/9504	3	13	306	4	33	7	700	385	0	1	18	366	0
Precinct 9505 - Vote By Mail	4	20	232	4	19	5	589	296	0	1	11	284	0
Precinct 9505 - Election Day	0	4	114	0	11	2	176	136	0	0	5	131	0
Precinct 9505	4	24	346	4	30	7	765	432	0	1	16	415	0
Precinct 9506 - Vote By Mail	1	13	177	2	29	1	547	232	0	1	8	223	0
Precinct 9506 - Election Day	0	4	105	3	19	0	207	138	0	0	7	131	0
Precinct 9506	1	17	282	5	48	1	754	370	0	1	15	354	0
Precinct 9507 - Vote By Mail	1	6	221	5	55	3	556	306	0	1	14	291	0
Precinct 9507 - Election Day	0	2	126	0	39	4	160	182	0	0	10	172	1
Precinct 9507	1	8	347	5	94	7	716	488	0	1	24	463	1
Precinct 9508 - Vote By Mail	0	3	249	3	51	3	632	317	0	0	8	309	0
Precinct 9508 - Election Day	0	3	123	6	41	1	148	185	0	0	10	175	1
Precinct 9508	0	6	372	9	92	4	780	502	0	0	18	484	1
Precinct 9509 - Vote By Mail	4	4	223	5	47	4	585	296	0	0	9	287	0
Precinct 9509 - Election Day	0	3	109	3	44	2	142	167	0	0	6	161	0
Precinct 9509	4	7	332	8	91	6	727	463	0	0	15	448	0
Precinct 9511 - Vote By Mail	1	13	173	6	40	1	458	240	0	1	5	234	0
Precinct 9511 - Election Day	1	13	102	2	35	2	176	163	0	0	8	155	0
Precinct 9511	2	26	275	8	75	3	634	403	0	1	13	389	0
Precinct 9512 - Vote By Mail	1	10	226	7	64	5	617	327	0	0	14	313	0
Precinct 9512 - Election Day	0	5	121	3	37	4	160	179	0	0	8	171	1
Precinct 9512	1	15	347	10	101	9	777	506	0	0	22	484	1
Precinct 9513 - Vote By Mail	3	12	246	2	55	0	686	334	0	1	15	318	0
Precinct 9513 - Election Day	1	4	134	3	33	4	191	188	0	0	9	179	0
Precinct 9513	4	16	380	5	88	4	877	522	0	1	24	497	0
Precinct 9514/9522 - Vote By Mail	4	11	261	3	55	6	713	352	0	1	11	340	0
Precinct 9514/9522 - Election Day	1	6	161	2	34	1	183	213	0	0	8	205	0
Precinct 9514/9522	5	17	422	5	89	7	896	565	0	1	19	545	0
Precinct 9515 - Vote By Mail	3	25	217	7	42	6	543	305	0	1	4	300	0
Precinct 9515 - Election Day	2	9	104	1	34	3	169	164	0	0	11	153	0
Precinct 9515	5	34	321	8	76	9	712	469	0	1	15	453	0
Precinct 9516 - Vote By Mail	7	33	244	7	54	7	705	366	0	1	13	352	0
Precinct 9516 - Election Day	6	13	135	2	26	1	184	190	0	1	6	183	0
Precinct 9516	13	46	379	9	80	8	889	556	0	2	19	535	0
Precinct 9517 - Vote By Mail	4	19	233	7	59	5	626	335	0	0	8	327	0
Precinct 9517 - Election Day	1	2	120	4	29	8	162	173	0	0	9	164	0
Precinct 9517	5	21	353	11	88	13	788	508	0	0	17	491	0
Precinct 9518 - Vote By Mail	6	17	227	5	43	3	642	316	0	0	15	301	0
Precinct 9518 - Election Day	1	6	138	6	30	3	146	195	0	0	11	184	0
Precinct 9518	7	23	365	11	73	6	788	511	0	0	26	485	0
Precinct 9519 - Vote By Mail	2	19	263	3	64	5	693	368	0	2	10	356	0
Precinct 9519 - Election Day	4	11	168	5	40	2	198	239	0	0	9	230	0
Precinct 9519	6	30	431	8	104	7	891	607	0	2	19	586	0
Precinct 9521 - Vote By Mail	2	14	260	3	55	4	687	352	0	0	14	338	0
Precinct 9521 - Election Day	3	6	178	2	42	3	214	242	0	0	8	234	0
Precinct 9521	5	20	438	5	97	7	901	594	0	0	22	572	0
Precinct 9701 - Vote By Mail	0	28	178	3	31	9	498	269	0	2	18	249	0
Precinct 9701 - Election Day	1	8	103	1	20	2	156	139	0	0	4	135	0
Precinct 9701	1	36	281	4	51	11	654	408	0	2	22	384	0
Precinct 9702 - Vote By Mail	3	19	218	7	33	2	554	305	0	0	23	282	0
Precinct 9702 - Election Day	0	5	114	0	23	3	166	148	0	0	3	145	0
Precinct 9702	3	24	332	7	56	5	720	453	0	0	26	427	0
Precinct 9703 - Vote By Mail	8	40	275	7	42	5	809	403	0	2	24	377	0
Precinct 9703 - Election Day	2	14	100	2	19	3	182	147	0	0	6	141	1
Precinct 9703	10	54	375	9	61	8	991	550	0	2	30	518	1
Precinct 9704 - Vote By Mail	3	48	311	4	26	6	760	422	0	0	24	398	0
Precinct 9704 - Election Day	4	12	154	0	13	4	199	199	0	0	12	187	0
Precinct 9704	7	60	465	4	39	10	959	621	0	0	36	585	0
Precinct 9705 - Vote By Mail	7	25	311	1	49	5	754	421	0	1	22	398	0
Precinct 9705 - Election Day	1	10	109	1	18	0	175	146	0	0	7	139	0
Precinct 9705	8	35	420	2	67	5	929	567	0	1	29	537	0
Precinct 9706 MB - Vote By Mail	0	1	29	0	3	0	57	34	0	0	1	33	0
Precinct 9706 MB - Election Day	0	0	0	0	0	0	-8	0	0	0	0	0	0
Precinct 9706 MB	0	1	29	0	3	0	49	34	0	0	1	33	0
Precinct 9707 - Vote By Mail	5	61	238	3	23	10	687	358	0	1	17	340	0
Precinct 9707 - Election Day	1	7	77	2	12	0	139	103	0	0	4	99	0
Precinct 9707	6	68	315	5	35	10	826	461	0	1	21	439	0
Precinct 9708 - Vote By Mail	3	34	314	4	47	6	786	429	0	1	20	408	0
Precinct 9708 - Election Day	0	11	116	3	18	4	175	159	0	0	7	152	0
Precinct 9708	3	45	430	7	65	10	961	588	0	1	27	560	0
Precinct 9709 - Vote By Mail	4	61	292	6	28	7	831	427	0	1	28	398	0
Precinct 9709 - Election Day	3	22	120	4	19	5	209	183	0	1	9	173	0
Precinct 9709	7	83	412	10	47	12	1,040	610	0	2	37	571	0
Precinct 9711 - Vote By Mail	2	48	222	4	16	5	502	307	0	1	9	297	0
Precinct 9711 - Election Day	3	19	116	3	12	5	144	162	0	0	4	158	0
Precinct 9711	5	67	338	7	28	10	646	469	0	1	13	455	0
Precinct 9713 - Vote By Mail	8	65	233	8	41	5	747	389	0	2	27	360	0
Precinct 9713 - Election Day	1	20	122	1	11	8	203	171	0	1	7	163	0
Precinct 9713	9	85	355	9	52	13	950	560	0	3	34	523	0
Precinct 9716 - Vote By Mail	11	56	259	6	36	9	745	398	0	2	19	377	0
Precinct 9716 - Election Day	4	13	116	1	20	4	221	167	0	0	7	160	2
Precinct 9716	15	69	375	7	56	13	966	565	0	2	26	537	2
Precinct 9717 - Vote By Mail	13	66	288	3	42	9	753	437	0	1	15	421	0
Precinct 9717 - Election Day	0	17	120	2	21	7	224	173	0	0	6	167	0
Precinct 9717	13	83	408	5	63	16	977	610	0	1	21	588	0
Precinct 9732 MB - Vote By Mail	1	6	33	0	3	2	78	47	0	0	2	45	0
Precinct 9732 MB - Election Day	0	0	0	0	0	0	-5	0	0	0	0	0	0
Precinct 9732 MB	1	6	33	0	3	2	73	47	0	0	2	45	0
Congressional District 12 - Vote By Mail	3,317	14,662	122,960	2,417	20,029	2,897	355,594	174,824	0	501	8,041	166,282	0
Congressional District 12 - Election Day	1,019	4,445	55,254	1,016	10,652	1,563	90,254	77,529	0	83	3,434	74,012	63
Congressional District 12	4,336	19,107	178,214	3,433	30,681	4,460	445,848	252,353	0	584	11,475	240,294	63
Assembly District 17 - Vote By Mail	2,182	7,278	82,069	1,583	14,017	1,904	232,787	114,654	0	356	5,265	109,033	0
Assembly District 17 - Election Day	592	1,939	34,199	630	7,081	941	59,635	47,539	0	51	2,060	45,428	46
Assembly District 17	2,774	9,217	116,268	2,213	21,098	2,845	292,422	162,193	0	407	7,325	154,461	46
Assembly District 19 - Vote By Mail	1,135	7,384	40,891	834	6,012	993	170,059	60,170	0	145	2,776	57,249	0
Assembly District 19 - Election Day	427	2,506	21,055	386	3,571	622	41,418	29,990	0	32	1,374	28,584	17
Assembly District 19	1,562	9,890	61,946	1,220	9,583	1,615	211,477	90,160	0	177	4,150	85,833	17
Supervisorial District 1 - Vote By Mail	307	1,860	11,036	248	2,033	288	33,868	16,583	0	37	774	15,772	0
Supervisorial District 1 - Election Day	122	654	5,949	114	1,256	188	9,248	8,645	0	12	346	8,287	4
Supervisorial District 1	429	2,514	16,985	362	3,289	476	43,116	25,228	0	49	1,120	24,059	4
Supervisorial District 2 - Vote By Mail	291	2,686	14,606	215	1,089	197	41,435	19,991	0	34	873	19,084	0
Supervisorial District 2 - Election Day	148	994	7,713	114	653	178	8,611	10,358	0	10	545	9,803	3
Supervisorial District 2	439	3,680	22,319	329	1,742	375	50,046	30,349	0	44	1,418	28,887	3
Supervisorial District 3 - Vote By Mail	385	1,375	10,021	205	1,309	277	31,943	14,432	0	62	798	13,572	0
Supervisorial District 3 - Election Day	107	398	4,710	97	678	145	7,434	6,535	0	5	386	6,144	9
Supervisorial District 3	492	1,773	14,731	302	1,987	422	39,377	20,967	0	67	1,184	19,716	9
Supervisorial District 4 - Vote By Mail	483	2,367	10,399	261	1,870	401	35,049	16,666	0	56	829	15,781	0
Supervisorial District 4 - Election Day	133	682	4,938	111	1,055	197	9,045	7,490	0	8	362	7,120	4
Supervisorial District 4	616	3,049	15,337	372	2,925	598	44,094	24,156	0	64	1,191	22,901	4
Supervisorial District 5 - Vote By Mail	236	973	15,626	278	3,226	238	41,966	21,520	0	53	890	20,577	0
Supervisorial District 5 - Election Day	95	362	8,168	162	2,016	181	10,934	11,548	0	16	535	10,997	13
Supervisorial District 5	331	1,335	23,794	440	5,242	419	52,900	33,068	0	69	1,425	31,574	13
Supervisorial District 6 - Vote By Mail	337	1,088	10,645	275	1,693	337	35,755	15,237	0	69	793	14,375	0
Supervisorial District 6 - Election Day	96	289	4,132	106	752	154	7,940	5,858	0	13	307	5,538	9
Supervisorial District 6	433	1,377	14,777	381	2,445	491	43,695	21,095	0	82	1,100	19,913	9
Supervisorial District 7 - Vote By Mail	136	914	6,046	88	743	145	38,887	8,522	0	21	429	8,072	0
Supervisorial District 7 - Election Day	43	261	2,398	40	344	72	8,556	3,285	0	4	120	3,161	3
Supervisorial District 7	179	1,175	8,444	128	1,087	217	47,443	11,807	0	25	549	11,233	3
Supervisorial District 8 - Vote By Mail	226	1,100	21,063	291	3,293	305	46,370	27,350	0	40	1,032	26,278	0
Supervisorial District 8 - Election Day	97	346	8,471	110	1,569	150	11,807	11,162	0	1	410	10,751	8
Supervisorial District 8	323	1,446	29,534	401	4,862	455	58,177	38,512	0	41	1,442	37,029	8
Supervisorial District 9 - Vote By Mail	294	877	11,214	283	2,984	324	33,165	16,788	0	50	762	15,976	0
Supervisorial District 9 - Election Day	91	206	4,782	66	1,623	143	10,098	7,144	0	6	224	6,914	3
Supervisorial District 9	385	1,083	15,996	349	4,607	467	43,263	23,932	0	56	986	22,890	3
Supervisorial District 10 - Vote By Mail	452	1,067	9,817	215	1,359	308	33,765	13,963	0	60	685	13,218	0
Supervisorial District 10 - Election Day	50	176	3,196	74	502	110	9,348	4,282	0	7	162	4,113	5
Supervisorial District 10	502	1,243	13,013	289	1,861	418	43,113	18,245	0	67	847	17,331	5
Supervisorial District 11 - Vote By Mail	170	355	2,487	58	430	77	30,643	3,772	0	19	176	3,577	0
Supervisorial District 11 - Election Day	37	77	797	22	204	45	8,032	1,222	0	1	37	1,184	2
Supervisorial District 11	207	432	3,284	80	634	122	38,675	4,994	0	20	213	4,761	2
Bayview/Hunters Point - Vote By Mail	245	488	4,206	87	449	139	15,464	5,944	0	34	296	5,614	0
Bayview/Hunters Point - Election Day	20	51	1,223	27	160	50	5,021	1,583	0	4	46	1,533	2
Bayview/Hunters Point	265	539	5,429	114	609	189	20,485	7,527	0	38	342	7,147	2
Chinatown - Vote By Mail	185	610	4,371	71	504	116	14,029	6,280	0	31	392	5,857	0
Chinatown - Election Day	39	162	2,074	42	245	74	3,238	2,815	0	2	175	2,638	2
Chinatown	224	772	6,445	113	749	190	17,267	9,095	0	33	567	8,495	2
Civic Center/Downtown - Vote By Mail	272	723	6,395	164	1,173	217	22,050	9,508	0	54	510	8,944	0
Civic Center/Downtown - Election Day	79	236	2,871	74	596	94	5,969	4,204	0	11	236	3,957	7
Civic Center/Downtown	351	959	9,266	238	1,769	311	28,019	13,712	0	65	746	12,901	7
Diamond Heights - Vote By Mail	48	211	2,725	29	289	47	5,630	3,494	0	7	138	3,349	0
