Subtotal Area	SCOTT WIENER	ERIN SMITH	JACKIE FIELDER	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9703	276	73	141	991	546	0	0	55	491	1
Precinct 9704 - Vote By Mail	206	48	116	760	422	0	0	52	370	0
Precinct 9704 - Election Day	107	20	49	199	197	0	0	20	177	1
Precinct 9704	313	68	165	959	619	0	0	72	547	1
Precinct 9705 - Vote By Mail	216	31	131	754	421	0	0	43	378	0
Precinct 9705 - Election Day	58	11	61	175	144	0	0	13	131	1
Precinct 9705	274	42	192	929	565	0	0	56	509	1
Precinct 9706 MB - Vote By Mail	19	2	11	57	34	0	0	2	32	0
Precinct 9706 MB - Election Day	0	0	0	-8	0	0	0	0	0	0
Precinct 9706 MB	19	2	11	49	34	0	0	2	32	0
Precinct 9707 - Vote By Mail	179	72	82	687	358	0	1	24	333	0
Precinct 9707 - Election Day	59	5	30	139	102	0	0	8	94	0
Precinct 9707	238	77	112	826	460	0	1	32	427	0
Precinct 9708 - Vote By Mail	225	33	114	786	429	0	0	57	372	0
Precinct 9708 - Election Day	85	11	54	175	158	0	0	8	150	0
Precinct 9708	310	44	168	961	587	0	0	65	522	0
Precinct 9709 - Vote By Mail	215	59	99	831	427	0	0	54	373	0
Precinct 9709 - Election Day	87	21	55	209	181	0	0	18	163	0
Precinct 9709	302	80	154	1,040	608	0	0	72	536	0
Precinct 9711 - Vote By Mail	163	40	72	502	307	0	0	32	275	0
Precinct 9711 - Election Day	79	22	26	144	139	0	0	12	127	0
Precinct 9711	242	62	98	646	446	0	0	44	402	0
Precinct 9712 - Vote By Mail	185	60	63	534	335	0	0	27	308	0
Precinct 9712 - Election Day	56	15	37	127	117	0	0	9	108	0
Precinct 9712	241	75	100	661	452	0	0	36	416	0
Precinct 9713 - Vote By Mail	173	72	100	747	389	0	0	44	345	0
Precinct 9713 - Election Day	63	22	37	203	137	0	0	15	122	0
Precinct 9713	236	94	137	950	526	0	0	59	467	0
Precinct 9714 - Vote By Mail	231	87	87	795	446	0	0	41	405	0
Precinct 9714 - Election Day	67	27	30	156	133	0	0	9	124	0
Precinct 9714	298	114	117	951	579	0	0	50	529	0
Precinct 9715 - Vote By Mail	133	50	36	449	241	0	0	22	219	0
Precinct 9715 - Election Day	81	16	30	130	134	0	0	7	127	0
Precinct 9715	214	66	66	579	375	0	0	29	346	0
Precinct 9716 - Vote By Mail	194	70	104	745	398	0	0	30	368	0
Precinct 9716 - Election Day	88	18	42	221	164	0	0	13	151	3
Precinct 9716	282	88	146	966	562	0	0	43	519	3
Precinct 9717 - Vote By Mail	217	81	112	753	436	0	0	26	410	0
Precinct 9717 - Election Day	80	16	38	224	145	0	0	10	135	1
Precinct 9717	297	97	150	977	581	0	0	36	545	1
Precinct 9718 - Vote By Mail	235	71	106	749	449	0	0	37	412	0
Precinct 9718 - Election Day	69	27	43	152	144	0	0	5	139	0
Precinct 9718	304	98	149	901	593	0	0	42	551	0
Precinct 9719 - Vote By Mail	238	83	96	747	461	0	0	44	417	0
Precinct 9719 - Election Day	82	23	41	173	151	0	0	5	146	0
Precinct 9719	320	106	137	920	612	0	0	49	563	0
Precinct 9721 - Vote By Mail	162	50	51	498	288	0	0	25	263	0
Precinct 9721 - Election Day	89	21	18	164	133	0	0	5	128	0
Precinct 9721	251	71	69	662	421	0	0	30	391	0
Precinct 9722 - Vote By Mail	140	77	73	513	315	0	1	24	290	0
Precinct 9722 - Election Day	32	14	24	84	76	0	0	6	70	0
Precinct 9722	172	91	97	597	391	0	1	30	360	0
Precinct 9723 - Vote By Mail	93	60	46	436	223	0	0	24	199	0
Precinct 9723 - Election Day	19	12	8	72	44	0	0	5	39	0
Precinct 9723	112	72	54	508	267	0	0	29	238	0
Precinct 9724 - Vote By Mail	169	145	78	851	451	0	1	58	392	0
Precinct 9724 - Election Day	39	20	32	169	99	0	0	8	91	0
Precinct 9724	208	165	110	1,020	550	0	1	66	483	0
Precinct 9725 - Vote By Mail	180	114	93	814	436	0	0	49	387	0
Precinct 9725 - Election Day	40	21	27	157	96	0	0	7	89	1
Precinct 9725	220	135	120	971	532	0	0	56	476	1
Precinct 9726 - Vote By Mail	75	30	95	630	216	0	1	15	200	0
Precinct 9726 - Election Day	34	12	50	-14	102	0	0	4	98	2
Precinct 9726	109	42	145	616	318	0	1	19	298	2
Precinct 9727 - Vote By Mail	97	61	45	404	227	0	0	24	203	0
Precinct 9727 - Election Day	19	4	7	56	33	0	0	3	30	0
Precinct 9727	116	65	52	460	260	0	0	27	233	0
Precinct 9728 - Vote By Mail	225	106	74	751	446	0	0	41	405	0
Precinct 9728 - Election Day	74	31	25	212	137	0	0	7	130	0
Precinct 9728	299	137	99	963	583	0	0	48	535	0
Precinct 9729 - Vote By Mail	153	85	60	654	335	0	0	37	298	0
Precinct 9729 - Election Day	57	33	32	164	129	0	0	7	122	0
Precinct 9729	210	118	92	818	464	0	0	44	420	0
Precinct 9731 - Vote By Mail	110	53	65	436	245	0	0	17	228	0
Precinct 9731 - Election Day	49	16	28	143	111	0	0	18	93	0
Precinct 9731	159	69	93	579	356	0	0	35	321	0
Precinct 9732 MB - Vote By Mail	26	6	10	78	47	0	0	5	42	0
Precinct 9732 MB - Election Day	0	0	0	-5	0	0	0	0	0	0
Precinct 9732 MB	26	6	10	73	47	0	0	5	42	0
Precinct 9733 MB - Vote By Mail	100	11	46	261	161	0	0	4	157	0
Precinct 9733 MB - Election Day	0	0	0	-21	0	0	0	0	0	0
Precinct 9733 MB	100	11	46	240	161	0	0	4	157	0
Precinct 9734 - Vote By Mail	157	46	54	473	285	0	2	26	257	0
Precinct 9734 - Election Day	57	23	19	131	109	0	0	10	99	0
Precinct 9734	214	69	73	604	394	0	2	36	356	0
Precinct 9735 - Vote By Mail	183	81	91	650	386	0	0	31	355	0
Precinct 9735 - Election Day	66	22	25	170	133	0	0	19	114	1
Precinct 9735	249	103	116	820	519	0	0	50	469	1
Precinct 9736 - Vote By Mail	182	38	69	586	323	0	0	34	289	0
Precinct 9736 - Election Day	74	28	44	150	153	0	0	7	146	0
Precinct 9736	256	66	113	736	476	0	0	41	435	0
Precinct 9737 - Vote By Mail	204	58	96	637	387	0	0	29	358	0
Precinct 9737 - Election Day	68	15	40	154	135	0	0	12	123	0
Precinct 9737	272	73	136	791	522	0	0	41	481	0
Precinct 9738 - Vote By Mail	156	48	82	688	319	0	0	33	286	0
Precinct 9738 - Election Day	28	12	21	150	64	0	0	3	61	0
Precinct 9738	184	60	103	838	383	0	0	36	347	0
Precinct 9739 - Vote By Mail	102	40	118	674	270	0	0	10	260	0
Precinct 9739 - Election Day	37	5	43	115	88	0	0	3	85	0
Precinct 9739	139	45	161	789	358	0	0	13	345	0
Precinct 9741 - Vote By Mail	35	5	122	837	173	0	0	11	162	0
Precinct 9741 - Election Day	3	0	6	-396	10	0	0	1	9	0
Precinct 9741	38	5	128	441	183	0	0	12	171	0
Precinct 9742 - Vote By Mail	113	51	44	530	229	0	0	21	208	0
Precinct 9742 - Election Day	53	19	22	165	99	0	0	5	94	0
Precinct 9742	166	70	66	695	328	0	0	26	302	0
Precinct 9743 - Vote By Mail	182	50	130	913	400	0	0	38	362	0
Precinct 9743 - Election Day	71	14	73	227	170	0	0	12	158	0
Precinct 9743	253	64	203	1,140	570	0	0	50	520	0
Precinct 9744 - Vote By Mail	130	50	131	783	333	0	0	22	311	0
Precinct 9744 - Election Day	45	13	55	160	123	0	0	10	113	0
Precinct 9744	175	63	186	943	456	0	0	32	424	0
Precinct 9745 - Vote By Mail	134	40	124	790	317	0	0	19	298	0
Precinct 9745 - Election Day	46	10	52	202	128	0	0	20	108	0
Precinct 9745	180	50	176	992	445	0	0	39	406	0
Precinct 9746 - Vote By Mail	175	78	83	714	373	0	0	37	336	0
Precinct 9746 - Election Day	54	23	31	189	119	0	0	11	108	0
Precinct 9746	229	101	114	903	492	0	0	48	444	0
Precinct 9747 - Vote By Mail	180	60	132	772	401	0	0	29	372	0
Precinct 9747 - Election Day	76	14	49	204	145	0	0	5	140	1
Precinct 9747	256	74	181	976	546	0	0	34	512	1
Precinct 9748 - Vote By Mail	214	64	114	746	425	0	0	33	392	0
Precinct 9748 - Election Day	58	18	25	167	116	0	0	12	104	3
Precinct 9748	272	82	139	913	541	0	0	45	496	3
Precinct 9749 - Vote By Mail	131	42	102	750	289	0	0	14	275	0
Precinct 9749 - Election Day	45	7	47	188	108	0	0	9	99	0
Precinct 9749	176	49	149	938	397	0	0	23	374	0
Precinct 9751 - Vote By Mail	250	55	124	857	472	0	0	43	429	0
Precinct 9751 - Election Day	76	22	40	214	153	0	1	14	138	0
Precinct 9751	326	77	164	1,071	625	0	1	57	567	0
Precinct 9752 - Vote By Mail	155	62	81	563	327	0	1	28	298	0
Precinct 9752 - Election Day	46	15	38	134	108	0	0	9	99	0
Precinct 9752	201	77	119	697	435	0	1	37	397	0
Precinct 9753 - Vote By Mail	149	30	96	617	298	0	0	23	275	0
Precinct 9753 - Election Day	64	6	47	145	123	0	0	5	118	1
Precinct 9753	213	36	143	762	421	0	0	28	393	1
Precinct 9754 - Vote By Mail	166	20	111	545	317	0	1	19	297	0
Precinct 9754 - Election Day	58	10	38	162	113	0	0	6	107	1
Precinct 9754	224	30	149	707	430	0	1	25	404	1
Precinct 9755 - Vote By Mail	126	28	63	441	238	0	0	21	217	0
Precinct 9755 - Election Day	49	9	33	139	99	0	0	8	91	0
Precinct 9755	175	37	96	580	337	0	0	29	308	0
Precinct 9756 - Vote By Mail	172	54	113	805	364	0	0	25	339	0
Precinct 9756 - Election Day	56	14	29	162	106	0	0	7	99	0
Precinct 9756	228	68	142	967	470	0	0	32	438	0
Precinct 9801 - Vote By Mail	87	10	60	320	163	0	0	6	157	0
Precinct 9801 - Election Day	22	10	18	88	52	0	0	2	50	0
Precinct 9801	109	20	78	408	215	0	0	8	207	0
Congressional District 12 - Vote By Mail	92,822	17,500	48,254	355,594	174,452	0	167	15,709	158,576	0
Congressional District 12 - Election Day	34,988	5,335	24,324	90,254	71,265	0	25	6,414	64,826	179
Congressional District 12	127,810	22,835	72,578	445,848	245,717	0	192	22,123	223,402	179
Congressional District 14 - Vote By Mail	10,469	3,669	6,388	47,252	22,340	0	25	1,789	20,526	0
Congressional District 14 - Election Day	3,150	835	2,455	10,799	6,956	0	7	488	6,461	21
Congressional District 14	13,619	4,504	8,843	58,051	29,296	0	32	2,277	26,987	21
Assembly District 17 - Vote By Mail	62,536	9,173	32,472	232,787	114,347	0	134	10,032	104,181	0
Assembly District 17 - Election Day	21,880	2,554	15,659	59,635	43,919	0	12	3,698	40,209	116
Assembly District 17	84,416	11,727	48,131	292,422	158,266	0	146	13,730	144,390	116
Assembly District 19 - Vote By Mail	40,755	11,996	22,170	170,059	82,445	0	58	7,466	74,921	0
Assembly District 19 - Election Day	16,258	3,616	11,120	41,418	34,302	0	20	3,204	31,078	84
Assembly District 19	57,013	15,612	33,290	211,477	116,747	0	78	10,670	105,999	84
Supervisorial District 1 - Vote By Mail	8,136	2,083	4,852	33,868	16,565	0	13	1,481	15,071	0
Supervisorial District 1 - Election Day	3,778	751	3,176	9,248	8,530	0	7	800	7,723	18
Supervisorial District 1	11,914	2,834	8,028	43,116	25,095	0	20	2,281	22,794	18
Supervisorial District 2 - Vote By Mail	11,209	2,956	3,795	41,435	19,971	0	6	2,005	17,960	0
Supervisorial District 2 - Election Day	5,535	1,185	2,155	8,611	10,149	0	5	1,248	8,896	21
Supervisorial District 2	16,744	4,141	5,950	50,046	30,120	0	11	3,253	26,856	21
Supervisorial District 3 - Vote By Mail	7,835	1,664	3,419	31,943	14,408	0	19	1,471	12,918	0
Supervisorial District 3 - Election Day	3,209	526	1,882	7,434	6,360	0	4	723	5,633	16
Supervisorial District 3	11,044	2,190	5,301	39,377	20,768	0	23	2,194	18,551	16
Supervisorial District 4 - Vote By Mail	7,587	2,831	4,822	35,049	16,862	0	12	1,610	15,240	0
Supervisorial District 4 - Election Day	2,505	692	2,186	9,045	5,910	0	1	512	5,397	14
Supervisorial District 4	10,092	3,523	7,008	44,094	22,772	0	13	2,122	20,637	14
Supervisorial District 5 - Vote By Mail	11,668	1,209	6,769	41,966	21,496	0	22	1,828	19,646	0
Supervisorial District 5 - Election Day	4,545	406	3,551	10,934	9,272	0	4	746	8,522	20
Supervisorial District 5	16,213	1,615	10,320	52,900	30,768	0	26	2,574	28,168	20
Supervisorial District 6 - Vote By Mail	8,643	1,388	3,704	35,755	15,225	0	27	1,463	13,735	0
Supervisorial District 6 - Election Day	2,305	329	1,295	7,940	4,383	0	2	435	3,946	17
Supervisorial District 6	10,948	1,717	4,999	43,695	19,608	0	29	1,898	17,681	17
Supervisorial District 7 - Vote By Mail	10,280	3,195	5,327	38,887	20,717	0	10	1,905	18,802	0
Supervisorial District 7 - Election Day	3,534	901	2,206	8,556	7,211	0	1	545	6,665	24
Supervisorial District 7	13,814	4,096	7,533	47,443	27,928	0	11	2,450	25,467	24
Supervisorial District 8 - Vote By Mail	16,353	1,276	7,877	46,370	27,474	0	18	1,950	25,506	0
Supervisorial District 8 - Election Day	6,074	450	3,887	11,807	11,114	0	1	683	10,430	19
Supervisorial District 8	22,427	1,726	11,764	58,177	38,588	0	19	2,633	35,936	19
Supervisorial District 9 - Vote By Mail	7,926	1,179	6,238	33,165	16,755	0	17	1,395	15,343	0
Supervisorial District 9 - Election Day	2,890	333	3,315	10,098	7,086	0	1	526	6,559	21
Supervisorial District 9	10,816	1,512	9,553	43,263	23,841	0	18	1,921	21,902	21
Supervisorial District 10 - Vote By Mail	7,461	1,444	3,614	33,765	13,891	0	26	1,346	12,519	0
Supervisorial District 10 - Election Day	2,120	265	1,410	9,348	4,201	0	0	391	3,810	15
Supervisorial District 10	9,581	1,709	5,024	43,113	18,092	0	26	1,737	16,329	15
Supervisorial District 11 - Vote By Mail	6,193	1,944	4,225	30,643	13,428	0	22	1,044	12,362	0
Supervisorial District 11 - Election Day	1,643	332	1,716	8,032	4,005	0	6	293	3,706	15
Supervisorial District 11	7,836	2,276	5,941	38,675	17,433	0	28	1,337	16,068	15
Bayview/Hunters Point - Vote By Mail	3,150	703	1,484	15,464	5,936	0	12	587	5,337	0
Bayview/Hunters Point - Election Day	785	84	540	5,021	1,551	0	0	133	1,418	9
Bayview/Hunters Point	3,935	787	2,024	20,485	7,487	0	12	720	6,755	9
Chinatown - Vote By Mail	3,415	714	1,419	14,029	6,273	0	13	712	5,548	0
Chinatown - Election Day	1,446	221	767	3,238	2,776	0	1	334	2,441	7
Chinatown	4,861	935	2,186	17,267	9,049	0	14	1,046	7,989	7
Civic Center/Downtown - Vote By Mail	5,071	950	2,594	22,050	9,495	0	13	867	8,615	0
Civic Center/Downtown - Election Day	1,785	287	1,269	5,969	3,742	0	5	386	3,351	10
Civic Center/Downtown	6,856	1,237	3,863	28,019	13,237	0	18	1,253	11,966	10
Diamond Heights - Vote By Mail	2,177	244	811	5,630	3,491	0	1	258	3,232	0
Diamond Heights - Election Day	740	74	342	1,430	1,237	0	0	79	1,158	2
Diamond Heights	2,917	318	1,153	7,060	4,728	0	1	337	4,390	2
Excelsior - Vote By Mail	4,731	1,462	3,119	22,700	10,117	0	17	788	9,312	0
Excelsior - Election Day	1,220	275	1,236	5,893	2,969	0	4	222	2,743	12
Excelsior	5,951	1,737	4,355	28,593	13,086	0	21	1,010	12,055	12
Haight Ashbury - Vote By Mail	3,178	211	2,051	11,526	5,963	0	7	516	5,440	0
Haight Ashbury - Election Day	1,346	112	1,125	2,336	2,800	0	1	212	2,587	4
Haight Ashbury	4,524	323	3,176	13,862	8,763	0	8	728	8,027	4
Ingleside - Vote By Mail	1,852	588	1,381	9,818	4,127	0	5	301	3,821	0
Ingleside - Election Day	546	88	574	2,577	1,302	0	2	89	1,211	3
Ingleside	2,398	676	1,955	12,395	5,429	0	7	390	5,032	3
Inner Sunset - Vote By Mail	2,087	280	1,290	7,628	4,025	0	5	363	3,657	0
Inner Sunset - Election Day	861	97	729	2,030	1,847	0	0	157	1,690	3
Inner Sunset	2,948	377	2,019	9,658	5,872	0	5	520	5,347	3
Lake Merced - Vote By Mail	1,256	582	1,019	7,416	3,138	0	2	279	2,857	0
Lake Merced - Election Day	362	119	367	842	924	0	0	73	851	3
Lake Merced	1,618	701	1,386	8,258	4,062	0	2	352	3,708	3
Laurel Heights/Anza Vista - Vote By Mail	2,125	368	1,081	8,172	3,949	0	2	373	3,574	0
Laurel Heights/Anza Vista - Election Day	927	157	660	1,850	1,947	0	2	195	1,750	6
Laurel Heights/Anza Vista	3,052	525	1,741	10,022	5,896	0	4	568	5,324	6
Marina Pacific Heights - Vote By Mail	8,682	2,353	2,898	33,509	15,520	0	4	1,583	13,933	0
Marina Pacific Heights - Election Day	4,241	931	1,605	5,931	7,800	0	4	1,003	6,793	16
Marina Pacific Heights	12,923	3,284	4,503	39,440	23,320	0	8	2,586	20,726	16
Mission - Vote By Mail	5,826	529	4,574	23,572	11,845	0	20	896	10,929	0
Mission - Election Day	2,171	218	2,520	7,433	5,298	0	1	376	4,921	12
Mission	7,997	747	7,094	31,005	17,143	0	21	1,272	15,850	12
North Bernal Heights - Vote By Mail	1,946	164	1,575	6,791	3,984	0	1	298	3,685	0
North Bernal Heights - Election Day	756	66	857	1,942	1,788	0	0	106	1,682	3
North Bernal Heights	2,702	230	2,432	8,733	5,772	0	1	404	5,367	3
North Embarcadero - Vote By Mail	1,507	356	563	5,779	2,672	0	2	244	2,426	0
North Embarcadero - Election Day	609	109	318	1,309	1,165	0	0	127	1,038	2
North Embarcadero	2,116	465	881	7,088	3,837	0	2	371	3,464	2
Noe Valley - Vote By Mail	4,818	404	2,271	13,553	8,149	0	2	654	7,493	0
Noe Valley - Election Day	1,868	142	1,136	3,435	3,370	0	1	215	3,154	8
Noe Valley	6,686	546	3,407	16,988	11,519	0	3	869	10,647	8
Portola - Vote By Mail	1,655	567	932	7,830	3,522	0	4	364	3,154	0
Portola - Election Day	411	105	322	1,802	947	0	0	105	842	4
Portola	2,066	672	1,254	9,632	4,469	0	4	469	3,996	4
Potrero Hill - Vote By Mail	3,911	465	1,790	14,623	6,798	0	1	631	6,166	0
Potrero Hill - Election Day	1,269	139	752	2,733	2,413	0	0	243	2,170	10
Potrero Hill	5,180	604	2,542	17,356	9,211	0	1	874	8,336	10
Richmond - Vote By Mail	6,995	1,878	4,259	29,447	14,398	0	12	1,254	13,132	0
Richmond - Election Day	3,310	675	2,776	8,178	7,475	0	5	694	6,776	15
Richmond	10,305	2,553	7,035	37,625	21,873	0	17	1,948	19,908	15
South of Bernal Heights - Vote By Mail	2,026	235	1,401	7,165	4,013	0	5	346	3,662	0
South of Bernal Heights - Election Day	928	82	726	2,406	1,869	0	0	127	1,742	6
South of Bernal Heights	2,954	317	2,127	9,571	5,882	0	5	473	5,404	6
Sea Cliff/Presidio Heights - Vote By Mail	1,918	507	620	6,458	3,411	0	0	366	3,045	0
Sea Cliff/Presidio Heights - Election Day	1,029	192	411	1,563	1,828	0	0	192	1,636	4
Sea Cliff/Presidio Heights	2,947	699	1,031	8,021	5,239	0	0	558	4,681	4
South of Market - Vote By Mail	5,127	852	2,032	20,910	8,905	0	18	876	8,011	0
South of Market - Election Day	1,334	201	665	4,167	2,452	0	0	242	2,210	10
South of Market	6,461	1,053	2,697	25,077	11,357	0	18	1,118	10,221	10
Sunset - Vote By Mail	7,484	2,812	4,745	34,606	16,636	0	11	1,584	15,041	0
Sunset - Election Day	2,456	683	2,129	8,887	5,783	0	1	500	5,282	14
Sunset	9,940	3,495	6,874	43,493	22,419	0	12	2,084	20,323	14
Upper Market/Eureka Valley - Vote By Mail	5,807	361	2,554	15,381	9,289	0	4	563	8,722	0
Upper Market/Eureka Valley - Election Day	2,015	101	1,284	3,512	3,613	0	0	209	3,404	4
Upper Market/Eureka Valley	7,822	462	3,838	18,893	12,902	0	4	772	12,126	4
Visitation Valley - Vote By Mail	1,265	394	557	6,638	2,508	0	11	281	2,216	0
Visitation Valley - Election Day	288	58	194	1,850	598	0	0	58	540	0
Visitation Valley	1,553	452	751	8,488	3,106	0	11	339	2,756	0
West of Twin Peaks - Vote By Mail	8,329	2,435	3,837	28,439	16,094	0	8	1,485	14,601	0
West of Twin Peaks - Election Day	2,881	745	1,609	6,935	5,684	0	1	427	5,256	21
West of Twin Peaks	11,210	3,180	5,446	35,374	21,778	0	9	1,912	19,857	21
Western Addition - Vote By Mail	6,953	755	3,785	23,712	12,534	0	12	1,029	11,493	0
Western Addition - Election Day	2,554	209	1,866	7,784	5,043	0	4	398	4,641	12
Western Addition	9,507	964	5,651	31,496	17,577	0	16	1,427	16,134	12
