Subtotal Area	JOEL VENTRESCA	WILMA PANG	ROBERT L. JORDAN, JR.	PAUL YBARRA ROBERTSON	ELLEN LEE ZHOU	LONDON N. BREED	MARC ROTH	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 9114/9112 - Vote By Mail	24	20	2	23	47	303	0	1,806	522	0	3	100	0	419	0
Precinct 9114/9112	41	26	3	30	70	446	0	1,806	759	0	4	139	0	616	0
Precinct 9116/9115 - Election Day	15	7	1	9	26	123	0	1,822	251	0	2	68	0	181	0
Precinct 9116/9115 - Vote By Mail	31	17	4	18	58	278	0	1,822	508	0	4	98	0	406	0
Precinct 9116/9115	46	24	5	27	84	401	0	1,822	759	0	6	166	0	587	0
Precinct 9117/9101 - Election Day	23	12	4	9	32	139	0	1,691	253	0	1	33	0	219	0
Precinct 9117/9101 - Vote By Mail	41	12	10	16	77	305	0	1,691	533	0	2	70	0	461	0
Precinct 9117/9101	64	24	14	25	109	444	0	1,691	786	0	3	103	0	680	0
Precinct 9118/9102 - Election Day	18	9	0	4	32	124	0	1,938	229	0	1	41	0	187	0
Precinct 9118/9102 - Vote By Mail	38	17	8	21	97	269	0	1,938	533	0	1	82	0	450	0
Precinct 9118/9102	56	26	8	25	129	393	0	1,938	762	0	2	123	0	637	0
Precinct 9119 - Election Day	5	3	2	4	8	57	0	899	91	0	0	12	0	79	0
Precinct 9119 - Vote By Mail	21	8	3	12	54	148	0	899	302	0	3	53	0	246	0
Precinct 9119	26	11	5	16	62	205	0	899	393	0	3	65	0	325	0
Precinct 9122/9121 - Election Day	14	10	1	3	30	94	0	1,865	190	0	0	38	0	152	0
Precinct 9122/9121 - Vote By Mail	36	14	6	18	107	288	0	1,865	536	0	2	65	0	469	0
Precinct 9122/9121	50	24	7	21	137	382	0	1,865	726	0	2	103	0	621	0
Precinct 9124/9142 - Election Day	11	7	1	9	30	114	0	1,843	218	0	1	45	0	172	0
Precinct 9124/9142 - Vote By Mail	35	12	8	23	97	283	0	1,843	541	0	2	81	0	458	0
Precinct 9124/9142	46	19	9	32	127	397	0	1,843	759	0	3	126	0	630	0
Precinct 9125 - Election Day	13	3	0	2	8	57	0	879	97	0	0	14	0	83	0
Precinct 9125 - Vote By Mail	14	9	3	12	46	141	0	879	266	0	0	41	0	225	0
Precinct 9125	27	12	3	14	54	198	0	879	363	0	0	55	0	308	0
Precinct 9127/9126 - Election Day	13	8	2	10	33	151	0	1,974	273	0	1	55	0	217	0
Precinct 9127/9126 - Vote By Mail	35	18	5	21	100	330	0	1,974	634	0	3	122	0	509	0
Precinct 9127/9126	48	26	7	31	133	481	0	1,974	907	0	4	177	0	726	0
Precinct 9128 - Election Day	10	3	2	1	10	82	0	814	125	0	0	17	0	108	0
Precinct 9128 - Vote By Mail	14	8	4	18	39	154	0	814	268	0	1	30	0	237	0
Precinct 9128	24	11	6	19	49	236	0	814	393	0	1	47	0	345	0
Precinct 9129/9131 - Election Day	12	4	0	5	20	106	0	1,459	176	0	1	28	0	147	0
Precinct 9129/9131 - Vote By Mail	29	7	5	10	68	281	0	1,459	462	0	3	59	0	400	0
Precinct 9129/9131	41	11	5	15	88	387	0	1,459	638	0	4	87	0	547	0
Precinct 9132 - Election Day	6	1	1	3	13	52	0	805	105	0	0	29	0	76	0
Precinct 9132 - Vote By Mail	15	1	0	6	25	136	0	805	221	0	1	37	0	183	0
Precinct 9132	21	2	1	9	38	188	0	805	326	0	1	66	0	259	0
Precinct 9133/9148 - Election Day	16	5	2	8	22	164	0	1,984	271	0	1	53	0	217	0
Precinct 9133/9148 - Vote By Mail	48	11	1	8	75	349	0	1,984	594	0	5	97	0	492	0
Precinct 9133/9148	64	16	3	16	97	513	0	1,984	865	0	6	150	0	709	0
Precinct 9134 - Election Day	3	3	1	3	9	48	0	891	87	0	0	20	0	67	0
Precinct 9134 - Vote By Mail	7	5	1	3	33	162	0	891	246	0	3	32	0	211	0
Precinct 9134	10	8	2	6	42	210	0	891	333	0	3	52	0	278	0
Precinct 9135 - Election Day	11	6	1	7	21	53	0	802	114	0	0	15	0	99	0
Precinct 9135 - Vote By Mail	30	4	4	14	33	117	0	802	230	0	2	26	0	202	0
Precinct 9135	41	10	5	21	54	170	0	802	344	0	2	41	0	301	0
Precinct 9136 - Election Day	9	8	4	6	11	62	0	900	119	0	0	19	0	100	0
Precinct 9136 - Vote By Mail	20	3	2	10	44	132	0	900	251	0	2	38	0	211	0
Precinct 9136	29	11	6	16	55	194	0	900	370	0	2	57	0	311	0
Precinct 9137 - Election Day	9	7	2	7	19	54	0	999	115	0	0	17	0	98	0
Precinct 9137 - Vote By Mail	21	14	1	10	48	145	0	999	278	0	1	38	0	239	0
Precinct 9137	30	21	3	17	67	199	0	999	393	0	1	55	0	337	0
Precinct 9138 - Election Day	6	5	0	6	18	49	0	929	101	0	0	17	0	84	0
Precinct 9138 - Vote By Mail	21	4	4	11	44	150	0	929	282	0	0	48	0	234	0
Precinct 9138	27	9	4	17	62	199	0	929	383	0	0	65	0	318	0
Precinct 9139 - Election Day	13	3	1	2	12	62	0	986	105	0	0	12	0	93	0
Precinct 9139 - Vote By Mail	26	15	0	18	67	157	0	986	340	0	3	54	0	283	0
Precinct 9139	39	18	1	20	79	219	0	986	445	0	3	66	0	376	0
Precinct 9141/9123 - Election Day	17	9	5	1	41	124	0	1,803	232	0	1	34	0	197	0
Precinct 9141/9123 - Vote By Mail	34	15	2	32	93	275	0	1,803	545	0	3	91	0	451	0
Precinct 9141/9123	51	24	7	33	134	399	0	1,803	777	0	4	125	0	648	0
Precinct 9143 - Election Day	11	7	0	4	13	72	0	895	120	0	0	13	0	107	0
Precinct 9143 - Vote By Mail	21	9	4	13	36	143	0	895	279	0	1	52	0	226	0
Precinct 9143	32	16	4	17	49	215	0	895	399	0	1	65	0	333	0
Precinct 9144 - Election Day	8	7	1	2	14	71	0	958	141	0	0	38	0	103	0
Precinct 9144 - Vote By Mail	19	6	1	5	46	165	0	958	288	0	2	44	0	242	0
Precinct 9144	27	13	2	7	60	236	0	958	429	0	2	82	0	345	0
Precinct 9145 - Election Day	11	3	0	4	17	67	0	851	124	0	0	22	0	102	0
Precinct 9145 - Vote By Mail	12	1	0	8	28	164	0	851	274	0	0	61	0	213	0
Precinct 9145	23	4	0	12	45	231	0	851	398	0	0	83	0	315	0
Precinct 9146/9147 - Election Day	26	12	4	11	33	140	0	1,837	275	0	1	48	0	226	0
Precinct 9146/9147 - Vote By Mail	39	14	6	13	59	318	0	1,837	555	0	2	104	0	449	0
Precinct 9146/9147	65	26	10	24	92	458	0	1,837	830	0	3	152	0	675	0
Precinct 9149 - Election Day	17	6	1	1	9	89	0	957	150	0	0	27	0	123	0
Precinct 9149 - Vote By Mail	20	3	2	6	35	155	0	957	276	0	0	55	0	221	0
Precinct 9149	37	9	3	7	44	244	0	957	426	0	0	82	0	344	0
Precinct 9152/9151 - Election Day	14	5	1	8	11	100	0	1,630	167	0	0	28	0	139	0
Precinct 9152/9151 - Vote By Mail	34	6	2	22	29	242	0	1,630	400	0	3	62	0	335	0
Precinct 9152/9151	48	11	3	30	40	342	0	1,630	567	0	3	90	0	474	0
Precinct 9201 - Election Day	9	7	1	1	8	68	0	950	111	0	0	17	0	94	0
Precinct 9201 - Vote By Mail	12	4	2	11	12	135	0	950	208	0	0	32	0	176	0
Precinct 9201	21	11	3	12	20	203	0	950	319	0	0	49	0	270	0
Precinct 9202 - Election Day	6	2	1	1	12	82	0	977	116	0	0	12	0	104	0
Precinct 9202 - Vote By Mail	15	2	2	9	19	130	0	977	207	0	0	30	0	177	0
Precinct 9202	21	4	3	10	31	212	0	977	323	0	0	42	0	281	0
Precinct 9203 - Election Day	4	2	0	8	10	47	0	984	78	0	0	7	0	71	0
Precinct 9203 - Vote By Mail	12	1	2	22	31	152	0	984	251	0	0	31	0	220	0
Precinct 9203	16	3	2	30	41	199	0	984	329	0	0	38	0	291	0
Precinct 9204 - Election Day	6	2	4	9	7	67	0	855	109	0	0	14	0	95	0
Precinct 9204 - Vote By Mail	11	0	0	16	24	140	1	855	208	0	1	15	0	192	1
Precinct 9204	17	2	4	25	31	207	1	855	317	0	1	29	0	287	1
Precinct 9205/9212 - Election Day	9	2	5	14	13	74	0	1,484	141	0	0	24	0	117	0
Precinct 9205/9212 - Vote By Mail	18	6	3	14	24	242	0	1,484	353	0	0	46	0	307	0
Precinct 9205/9212	27	8	8	28	37	316	0	1,484	494	0	0	70	0	424	0
Precinct 9208/9207 - Election Day	5	6	3	8	25	106	0	1,935	178	0	0	25	0	153	0
Precinct 9208/9207 - Vote By Mail	28	9	6	32	47	317	0	1,935	484	0	1	44	0	439	0
Precinct 9208/9207	33	15	9	40	72	423	0	1,935	662	0	1	69	0	592	0
Precinct 9209 - Election Day	0	0	1	3	7	65	0	742	85	0	0	9	0	76	0
Precinct 9209 - Vote By Mail	9	2	2	15	19	110	0	742	178	0	0	21	0	157	0
Precinct 9209	9	2	3	18	26	175	0	742	263	0	0	30	0	233	0
Precinct 9211/9206 - Election Day	13	4	0	9	21	103	0	1,788	166	0	0	16	0	150	0
Precinct 9211/9206 - Vote By Mail	29	5	5	36	40	300	0	1,788	465	0	2	48	0	415	0
Precinct 9211/9206	42	9	5	45	61	403	0	1,788	631	0	2	64	0	565	0
Precinct 9213 - Election Day	5	4	2	4	9	52	0	927	85	0	0	9	0	76	0
Precinct 9213 - Vote By Mail	16	4	3	12	20	155	0	927	241	0	2	29	0	210	0
Precinct 9213	21	8	5	16	29	207	0	927	326	0	2	38	0	286	0
Precinct 9214 - Election Day	2	0	3	4	10	41	0	633	66	0	0	6	0	60	0
Precinct 9214 - Vote By Mail	8	3	3	16	26	108	0	633	177	0	0	13	0	164	0
Precinct 9214	10	3	6	20	36	149	0	633	243	0	0	19	0	224	0
Precinct 9215 - Election Day	2	2	0	5	8	51	0	641	79	0	0	11	0	68	0
Precinct 9215 - Vote By Mail	12	4	0	10	8	119	0	641	171	0	0	18	0	153	0
Precinct 9215	14	6	0	15	16	170	0	641	250	0	0	29	0	221	0
Precinct 9216 - Election Day	5	0	0	4	7	60	0	818	82	0	0	6	0	76	0
Precinct 9216 - Vote By Mail	15	2	5	16	6	112	0	818	171	0	0	15	0	156	0
Precinct 9216	20	2	5	20	13	172	0	818	253	0	0	21	0	232	0
Precinct 9217 - Election Day	3	2	0	6	8	41	0	704	64	0	0	4	0	60	0
Precinct 9217 - Vote By Mail	13	5	2	8	15	103	0	704	163	0	0	17	0	146	0
Precinct 9217	16	7	2	14	23	144	0	704	227	0	0	21	0	206	0
Precinct 9218 - Election Day	3	4	2	3	9	55	0	805	87	0	0	11	0	76	0
Precinct 9218 - Vote By Mail	8	5	0	7	25	136	0	805	201	0	0	20	0	181	0
Precinct 9218	11	9	2	10	34	191	0	805	288	0	0	31	0	257	0
Precinct 9219/9225 - Election Day	10	9	2	10	18	111	0	1,727	186	0	0	26	0	160	0
Precinct 9219/9225 - Vote By Mail	29	12	2	22	35	245	0	1,727	383	0	1	37	0	345	0
Precinct 9219/9225	39	21	4	32	53	356	0	1,727	569	0	1	63	0	505	0
Precinct 9221 - Election Day	1	2	0	2	3	60	0	638	72	0	0	4	0	68	0
Precinct 9221 - Vote By Mail	6	6	1	15	18	177	0	638	243	0	0	20	0	223	0
Precinct 9221	7	8	1	17	21	237	0	638	315	0	0	24	0	291	0
Precinct 9222 - Election Day	10	3	1	7	5	56	0	886	91	0	0	9	0	82	0
Precinct 9222 - Vote By Mail	9	4	4	17	17	184	0	886	261	0	0	26	0	235	0
Precinct 9222	19	7	5	24	22	240	0	886	352	0	0	35	0	317	0
Precinct 9223 - Election Day	1	1	0	9	4	37	0	651	53	0	0	1	0	52	0
Precinct 9223 - Vote By Mail	7	5	1	10	20	132	0	651	188	0	0	13	0	175	0
Precinct 9223	8	6	1	19	24	169	0	651	241	0	0	14	0	227	0
Precinct 9224 - Election Day	4	0	1	6	9	73	0	928	108	0	0	15	0	93	0
Precinct 9224 - Vote By Mail	16	7	3	13	17	183	0	928	270	0	0	31	0	239	0
Precinct 9224	20	7	4	19	26	256	0	928	378	0	0	46	0	332	0
Precinct 9226 - Election Day	5	1	0	5	8	59	0	892	85	0	0	7	0	78	0
Precinct 9226 - Vote By Mail	17	3	2	11	23	150	0	892	232	0	0	26	0	206	0
Precinct 9226	22	4	2	16	31	209	0	892	317	0	0	33	0	284	0
Precinct 9227 - Election Day	7	2	2	2	10	51	0	713	83	0	0	9	0	74	0
Precinct 9227 - Vote By Mail	15	7	2	13	23	199	0	713	291	0	0	32	0	259	0
Precinct 9227	22	9	4	15	33	250	0	713	374	0	0	41	0	333	0
Precinct 9228 - Election Day	4	3	2	4	9	63	0	740	89	0	0	4	0	85	0
Precinct 9228 - Vote By Mail	10	5	1	9	22	176	0	740	242	0	0	19	0	223	0
Precinct 9228	14	8	3	13	31	239	0	740	331	0	0	23	0	308	0
Precinct 9229 - Election Day	5	1	1	6	9	68	0	574	93	0	0	3	0	90	0
Precinct 9229 - Vote By Mail	4	5	0	4	13	136	0	574	190	0	0	28	0	162	0
Precinct 9229	9	6	1	10	22	204	0	574	283	0	0	31	0	252	0
Precinct 9231 - Election Day	12	3	0	5	9	101	0	954	157	0	0	27	0	130	0
Precinct 9231 - Vote By Mail	16	10	0	7	22	188	0	954	273	0	1	29	0	243	0
Precinct 9231	28	13	0	12	31	289	0	954	430	0	1	56	0	373	0
Precinct 9232 - Election Day	5	5	2	3	1	61	0	716	92	0	0	15	0	77	0
Precinct 9232 - Vote By Mail	10	2	2	10	8	181	0	716	237	0	0	24	0	213	0
Precinct 9232	15	7	4	13	9	242	0	716	329	0	0	39	0	290	0
Precinct 9233 - Election Day	3	0	0	4	4	57	0	814	77	0	0	9	0	68	0
Precinct 9233 - Vote By Mail	6	6	1	9	14	205	0	814	260	0	1	18	0	241	0
Precinct 9233	9	6	1	13	18	262	0	814	337	0	1	27	0	309	0
Precinct 9234 - Election Day	0	1	3	7	13	54	0	747	84	0	0	6	0	78	0
Precinct 9234 - Vote By Mail	4	5	2	7	26	152	0	747	216	0	0	20	0	196	0
Precinct 9234	4	6	5	14	39	206	0	747	300	0	0	26	0	274	0
Precinct 9235/9243 - Election Day	14	4	2	6	13	112	0	1,439	164	0	1	12	0	151	0
Precinct 9235/9243 - Vote By Mail	23	1	1	20	34	324	0	1,439	443	0	0	40	0	403	0
Precinct 9235/9243	37	5	3	26	47	436	0	1,439	607	0	1	52	0	554	0
Precinct 9236 - Election Day	0	1	1	1	2	51	0	659	65	0	0	9	0	56	0
Precinct 9236 - Vote By Mail	18	4	0	5	11	146	0	659	203	0	0	19	0	184	0
Precinct 9236	18	5	1	6	13	197	0	659	268	0	0	28	0	240	0
Precinct 9237 - Election Day	3	3	0	3	5	65	0	874	86	0	0	7	0	79	0
Precinct 9237 - Vote By Mail	7	3	0	18	12	200	0	874	265	0	0	25	0	240	0
Precinct 9237	10	6	0	21	17	265	0	874	351	0	0	32	0	319	0
Precinct 9238/9246 - Election Day	5	6	2	13	10	108	0	1,769	161	0	0	17	0	144	0
Precinct 9238/9246 - Vote By Mail	29	11	9	35	45	357	0	1,769	523	0	1	36	0	486	0
Precinct 9238/9246	34	17	11	48	55	465	0	1,769	684	0	1	53	0	630	0
Precinct 9239 - Election Day	8	1	0	5	4	56	0	866	78	0	0	4	0	74	0
Precinct 9239 - Vote By Mail	11	0	3	14	24	211	0	866	286	0	0	23	0	263	0
Precinct 9239	19	1	3	19	28	267	0	866	364	0	0	27	0	337	0
Precinct 9241 - Election Day	6	3	2	7	5	69	0	968	95	0	0	3	0	92	0
Precinct 9241 - Vote By Mail	12	5	3	25	11	199	0	968	281	0	0	26	0	255	0
Precinct 9241	18	8	5	32	16	268	0	968	376	0	0	29	0	347	0
Precinct 9242/9247 - Election Day	8	5	3	9	16	92	0	1,845	158	0	0	25	0	133	0
Precinct 9242/9247 - Vote By Mail	24	8	4	21	44	368	0	1,845	507	0	0	38	0	469	0
Precinct 9242/9247	32	13	7	30	60	460	0	1,845	665	0	0	63	0	602	0
Precinct 9244 - Election Day	9	2	0	7	12	66	0	881	99	0	0	3	0	96	0
Precinct 9244 - Vote By Mail	10	0	1	9	14	172	0	881	225	0	0	19	0	206	0
Precinct 9244	19	2	1	16	26	238	0	881	324	0	0	22	0	302	0
Precinct 9245/7206 - Election Day	3	3	0	7	6	96	0	1,081	131	0	0	16	0	115	0
Precinct 9245/7206 - Vote By Mail	18	5	0	9	20	190	0	1,081	276	0	0	34	0	242	0
Precinct 9245/7206	21	8	0	16	26	286	0	1,081	407	0	0	50	0	357	0
Precinct 9248 - Election Day	9	4	0	8	4	58	0	870	88	0	0	5	0	83	0
Precinct 9248 - Vote By Mail	14	4	0	6	17	156	0	870	240	0	0	43	0	197	0
Precinct 9248	23	8	0	14	21	214	0	870	328	0	0	48	0	280	0
Precinct 9251/9249 - Election Day	22	5	2	11	25	184	0	1,887	283	0	1	33	0	249	0
Precinct 9251/9249 - Vote By Mail	20	16	4	19	42	387	0	1,887	558	0	0	70	0	488	0
Precinct 9251/9249	42	21	6	30	67	571	0	1,887	841	0	1	103	0	737	0
Precinct 9252 - Election Day	1	0	0	2	11	57	0	918	83	0	0	12	0	71	0
Precinct 9252 - Vote By Mail	14	6	6	15	24	189	0	918	284	0	0	30	0	254	0
Precinct 9252	15	6	6	17	35	246	0	918	367	0	0	42	0	325	0
Precinct 9253 - Election Day	1	3	1	6	21	62	0	752	102	0	0	8	0	94	0
Precinct 9253 - Vote By Mail	13	4	3	11	36	152	0	752	237	0	0	18	0	219	0
Precinct 9253	14	7	4	17	57	214	0	752	339	0	0	26	0	313	0
Precinct 9255/9258 - Election Day	8	6	4	5	9	113	0	1,236	169	0	0	24	0	145	0
Precinct 9255/9258 - Vote By Mail	21	4	5	14	38	224	0	1,236	349	0	0	43	0	306	0
Precinct 9255/9258	29	10	9	19	47	337	0	1,236	518	0	0	67	0	451	0
Precinct 9256/9254 - Election Day	5	5	1	3	11	107	0	1,373	150	0	0	18	0	132	0
Precinct 9256/9254 - Vote By Mail	16	11	4	13	28	283	0	1,373	406	0	0	51	0	355	0
Precinct 9256/9254	21	16	5	16	39	390	0	1,373	556	0	0	69	0	487	0
Precinct 9257 MB - Election Day	0	0	1	0	0	1	0	311	3	0	0	1	0	2	0
Precinct 9257 MB - Vote By Mail	9	1	0	3	8	80	0	311	124	0	0	23	0	101	0
Precinct 9257 MB	9	1	1	3	8	81	0	311	127	0	0	24	0	103	0
Precinct 9401 - Election Day	16	8	1	6	14	86	0	1,015	159	0	0	28	0	131	0
Precinct 9401 - Vote By Mail	20	5	2	15	28	142	0	1,015	258	0	0	46	0	212	0
Precinct 9401	36	13	3	21	42	228	0	1,015	417	0	0	74	0	343	0
Precinct 9402 - Election Day	20	5	1	5	18	75	0	988	148	0	0	24	0	124	0
Precinct 9402 - Vote By Mail	26	4	5	7	55	145	0	988	286	0	0	44	0	242	0
Precinct 9402	46	9	6	12	73	220	0	988	434	0	0	68	0	366	0
Precinct 9404/9403 - Election Day	20	9	2	8	38	93	0	1,814	206	0	0	36	0	170	0
Precinct 9404/9403 - Vote By Mail	28	16	6	32	105	254	0	1,814	499	0	1	57	0	441	0
Precinct 9404/9403	48	25	8	40	143	347	0	1,814	705	0	1	93	0	611	0
Precinct 9405 - Election Day	8	2	4	3	22	69	0	770	113	0	0	5	0	108	0
Precinct 9405 - Vote By Mail	12	2	2	9	59	116	0	770	223	0	0	23	0	200	0
Precinct 9405	20	4	6	12	81	185	0	770	336	0	0	28	0	308	0
Precinct 9406 - Election Day	10	3	0	7	27	66	0	873	133	0	0	20	0	113	0
Precinct 9406 - Vote By Mail	13	4	2	17	44	116	0	873	228	0	0	32	0	196	0
Precinct 9406	23	7	2	24	71	182	0	873	361	0	0	52	0	309	0
Precinct 9407 - Election Day	12	9	1	2	24	63	0	887	126	0	1	14	0	111	0
Precinct 9407 - Vote By Mail	17	6	2	4	62	122	0	887	242	0	0	29	0	213	0
Precinct 9407	29	15	3	6	86	185	0	887	368	0	1	43	0	324	0
Precinct 9408 - Election Day	10	2	1	6	21	65	0	834	129	0	0	24	0	105	0
Precinct 9408 - Vote By Mail	8	2	3	6	21	126	0	834	204	0	0	38	0	166	0
Precinct 9408	18	4	4	12	42	191	0	834	333	0	0	62	0	271	0
Precinct 9409 - Election Day	5	4	1	4	4	70	0	591	105	0	0	17	0	88	0
Precinct 9409 - Vote By Mail	12	1	1	3	22	71	0	591	133	0	0	23	0	110	0
Precinct 9409	17	5	2	7	26	141	0	591	238	0	0	40	0	198	0
Precinct 9411/9412 - Election Day	25	11	2	12	32	137	0	1,842	254	0	1	34	0	219	0
Precinct 9411/9412 - Vote By Mail	41	9	12	29	94	288	0	1,842	522	0	0	49	0	473	0
Precinct 9411/9412	66	20	14	41	126	425	0	1,842	776	0	1	83	0	692	0
Precinct 9413 - Election Day	5	4	2	3	23	52	0	920	103	0	0	14	0	89	0
Precinct 9413 - Vote By Mail	13	6	4	11	56	146	0	920	280	0	0	44	0	236	0
Precinct 9413	18	10	6	14	79	198	0	920	383	0	0	58	0	325	0
Precinct 9415 - Election Day	7	4	0	3	17	40	0	779	79	0	0	8	0	71	0
Precinct 9415 - Vote By Mail	7	10	1	14	63	134	0	779	252	0	0	23	0	229	0
Precinct 9415	14	14	1	17	80	174	0	779	331	0	0	31	0	300	0
Precinct 9416 - Election Day	8	6	1	6	7	101	0	988	152	0	0	23	0	129	0
Precinct 9416 - Vote By Mail	14	11	3	13	74	144	0	988	279	0	0	20	0	259	0
Precinct 9416	22	17	4	19	81	245	0	988	431	0	0	43	0	388	0
Precinct 9418/9417 - Election Day	14	6	0	10	36	111	0	1,561	201	0	1	23	0	177	0
Precinct 9418/9417 - Vote By Mail	27	15	4	14	138	258	0	1,561	509	0	3	50	0	456	0
Precinct 9418/9417	41	21	4	24	174	369	0	1,561	710	0	4	73	0	633	0
Precinct 9419/9414 - Election Day	13	2	1	11	30	101	0	1,790	174	0	1	15	0	158	0
Precinct 9419/9414 - Vote By Mail	28	8	5	23	140	316	0	1,790	585	0	2	63	0	520	0
Precinct 9419/9414	41	10	6	34	170	417	0	1,790	759	0	3	78	0	678	0
Precinct 9421 - Election Day	6	4	3	9	14	43	0	917	94	0	0	15	0	79	0
Precinct 9421 - Vote By Mail	19	10	1	11	65	140	0	917	282	0	0	36	0	246	0
Precinct 9421	25	14	4	20	79	183	0	917	376	0	0	51	0	325	0
Precinct 9422 - Election Day	7	3	2	6	23	83	0	1,068	139	0	0	15	0	124	0
Precinct 9422 - Vote By Mail	18	6	1	15	84	180	0	1,068	329	0	0	25	0	304	0
Precinct 9422	25	9	3	21	107	263	0	1,068	468	0	0	40	0	428	0
Precinct 9423 - Election Day	8	1	1	7	3	63	0	906	88	0	0	5	0	83	0
Precinct 9423 - Vote By Mail	18	5	0	14	38	165	0	906	263	0	2	21	0	240	0
Precinct 9423	26	6	1	21	41	228	0	906	351	0	2	26	0	323	0
Precinct 9424/9425 - Election Day	18	7	3	3	44	79	0	1,949	182	0	0	28	0	154	0
Precinct 9424/9425 - Vote By Mail	39	17	12	19	159	322	0	1,949	635	0	1	66	0	568	0
Precinct 9424/9425	57	24	15	22	203	401	0	1,949	817	0	1	94	0	722	0
Precinct 9426 - Election Day	6	9	2	6	19	32	0	832	83	0	0	9	0	74	0
Precinct 9426 - Vote By Mail	23	12	3	11	69	127	0	832	265	0	1	19	0	245	0
Precinct 9426	29	21	5	17	88	159	0	832	348	0	1	28	0	319	0
Precinct 9427 - Election Day	7	6	1	5	17	74	0	964	116	0	1	5	0	110	0
Precinct 9427 - Vote By Mail	12	13	1	16	84	132	0	964	283	0	0	25	0	258	0
Precinct 9427	19	19	2	21	101	206	0	964	399	0	1	30	0	368	0
Precinct 9431/9429 - Election Day	17	7	7	10	42	113	0	1,914	218	0	0	22	0	196	0
Precinct 9431/9429 - Vote By Mail	45	18	4	33	147	289	0	1,914	588	0	1	51	0	536	0
Precinct 9431/9429	62	25	11	43	189	402	0	1,914	806	0	1	73	0	732	0
Precinct 9432 - Election Day	3	3	4	6	23	50	0	943	100	0	0	11	0	89	0
Precinct 9432 - Vote By Mail	15	11	3	22	52	141	0	943	267	0	1	22	0	244	0
Precinct 9432	18	14	7	28	75	191	0	943	367	0	1	33	0	333	0
Precinct 9433/9428 - Election Day	14	7	1	11	34	67	0	1,923	152	0	0	18	0	134	0
Precinct 9433/9428 - Vote By Mail	29	17	5	19	147	321	0	1,923	608	0	0	70	0	538	0
Precinct 9433/9428	43	24	6	30	181	388	0	1,923	760	0	0	88	0	672	0
Precinct 9434 - Election Day	14	5	4	6	15	68	0	982	118	0	0	6	0	112	0
Precinct 9434 - Vote By Mail	17	10	3	16	63	164	0	982	296	0	0	23	0	273	0
Precinct 9434	31	15	7	22	78	232	0	982	414	0	0	29	0	385	0
Precinct 9436 - Election Day	10	6	1	5	27	67	0	1,057	123	0	0	7	0	116	0
Precinct 9436 - Vote By Mail	23	8	2	15	93	164	0	1,057	324	0	0	19	0	305	0
Precinct 9436	33	14	3	20	120	231	0	1,057	447	0	0	26	0	421	0
Precinct 9437 - Election Day	5	2	1	4	12	57	0	908	95	0	0	14	0	81	0
Precinct 9437 - Vote By Mail	18	9	3	15	79	137	0	908	281	0	2	18	0	261	0
Precinct 9437	23	11	4	19	91	194	0	908	376	0	2	32	0	342	0
Precinct 9439/9438 - Election Day	19	3	1	8	30	84	0	1,863	162	0	0	17	0	145	0
Precinct 9439/9438 - Vote By Mail	38	10	3	30	161	306	0	1,863	599	0	2	49	0	548	0
Precinct 9439/9438	57	13	4	38	191	390	0	1,863	761	0	2	66	0	693	0
Precinct 9441 - Election Day	11	3	0	7	19	63	0	985	118	0	0	15	0	103	0
Precinct 9441 - Vote By Mail	15	7	1	19	82	160	0	985	314	0	0	30	0	284	0
Precinct 9441	26	10	1	26	101	223	0	985	432	0	0	45	0	387	0
Precinct 9442/9435 - Election Day	17	11	6	9	40	134	0	2,015	249	0	1	31	0	217	0
Precinct 9442/9435 - Vote By Mail	40	14	5	39	135	271	0	2,015	562	0	2	56	0	504	0
Precinct 9442/9435	57	25	11	48	175	405	0	2,015	811	0	3	87	0	721	0
Precinct 9443/9444 - Election Day	9	6	3	6	30	103	0	1,908	176	0	0	19	0	157	0
Precinct 9443/9444 - Vote By Mail	41	20	5	35	132	267	0	1,908	559	0	3	56	0	500	0
Precinct 9443/9444	50	26	8	41	162	370	0	1,908	735	0	3	75	0	657	0
Precinct 9445 - Election Day	7	2	3	2	21	42	0	971	92	0	0	15	0	77	0
Precinct 9445 - Vote By Mail	20	6	2	9	63	174	0	971	307	0	0	33	0	274	0
Precinct 9445	27	8	5	11	84	216	0	971	399	0	0	48	0	351	0
Precinct 9446/9452 - Election Day	17	8	6	13	32	132	0	1,940	230	0	0	22	0	208	0
Precinct 9446/9452 - Vote By Mail	40	15	8	34	170	297	0	1,940	622	0	3	55	0	564	0
Precinct 9446/9452	57	23	14	47	202	429	0	1,940	852	0	3	77	0	772	0
Precinct 9447 - Election Day	14	8	0	3	16	68	0	889	122	0	0	13	0	109	0
Precinct 9447 - Vote By Mail	12	7	1	14	71	152	0	889	274	0	2	15	0	257	0
Precinct 9447	26	15	1	17	87	220	0	889	396	0	2	28	0	366	0
Precinct 9448 - Election Day	13	7	1	4	17	54	0	936	105	0	0	9	0	96	0
Precinct 9448 - Vote By Mail	20	3	2	16	77	119	0	936	263	0	1	25	0	237	0
Precinct 9448	33	10	3	20	94	173	0	936	368	0	1	34	0	333	0
Precinct 9449 - Election Day	2	0	0	7	13	54	0	862	86	0	0	10	0	76	0
