Subtotal Area	PAUL MIYAMOTO	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Exhausted Ballots	Ballots Counted	Writein Votes
Precinct 7852/7851	515	1,153	636	0	0	121	0	515	0
Precinct 7853/7859 - Election Day	180	1,736	230	0	1	49	0	180	0
Precinct 7853/7859 - Vote By Mail	454	1,736	603	0	0	149	0	454	0
Precinct 7853/7859	634	1,736	833	0	1	198	0	634	0
Precinct 7854 - Election Day	83	866	127	0	0	44	0	83	0
Precinct 7854 - Vote By Mail	213	866	314	0	0	101	0	213	0
Precinct 7854	296	866	441	0	0	145	0	296	0
Precinct 7855/7856 - Election Day	223	1,775	307	0	0	84	0	223	0
Precinct 7855/7856 - Vote By Mail	400	1,775	596	0	0	196	0	400	0
Precinct 7855/7856	623	1,775	903	0	0	280	0	623	0
Precinct 7858/7857 - Election Day	156	1,646	251	0	0	95	0	156	0
Precinct 7858/7857 - Vote By Mail	350	1,646	530	0	0	180	0	350	0
Precinct 7858/7857	506	1,646	781	0	0	275	0	506	0
Precinct 7861 - Election Day	90	854	131	0	0	41	0	90	0
Precinct 7861 - Vote By Mail	226	854	311	0	0	85	0	226	0
Precinct 7861	316	854	442	0	0	126	0	316	0
Precinct 7862 - Election Day	129	857	155	0	0	26	0	129	0
Precinct 7862 - Vote By Mail	199	857	275	0	0	76	0	199	0
Precinct 7862	328	857	430	0	0	102	0	328	0
Precinct 7863 - Election Day	110	881	155	0	0	45	0	110	0
Precinct 7863 - Vote By Mail	179	881	264	0	0	85	0	179	0
Precinct 7863	289	881	419	0	0	130	0	289	0
Precinct 7864 - Election Day	91	804	127	0	0	36	0	91	0
Precinct 7864 - Vote By Mail	177	804	267	0	0	90	0	177	0
Precinct 7864	268	804	394	0	0	126	0	268	0
Precinct 7866 - Election Day	105	822	129	0	0	24	0	105	0
Precinct 7866 - Vote By Mail	263	822	357	0	0	94	0	263	0
Precinct 7866	368	822	486	0	0	118	0	368	0
Precinct 7867 - Election Day	116	969	149	0	0	33	0	116	0
Precinct 7867 - Vote By Mail	269	969	365	0	0	96	0	269	0
Precinct 7867	385	969	514	0	0	129	0	385	0
Precinct 7868 - Election Day	126	870	151	0	0	25	0	126	0
Precinct 7868 - Vote By Mail	212	870	267	0	0	55	0	212	0
Precinct 7868	338	870	418	0	0	80	0	338	0
Precinct 7869 - Election Day	124	863	146	0	0	22	0	124	0
Precinct 7869 - Vote By Mail	233	863	355	0	0	122	0	233	0
Precinct 7869	357	863	501	0	0	144	0	357	0
Precinct 7871 - Election Day	106	877	151	0	0	45	0	106	0
Precinct 7871 - Vote By Mail	229	877	303	0	0	74	0	229	0
Precinct 7871	335	877	454	0	0	119	0	335	0
Precinct 7872 - Election Day	123	863	157	0	0	34	0	123	0
Precinct 7872 - Vote By Mail	232	863	332	0	0	100	0	232	0
Precinct 7872	355	863	489	0	0	134	0	355	0
Precinct 7873/7865 - Election Day	192	1,688	279	0	0	87	0	192	0
Precinct 7873/7865 - Vote By Mail	427	1,688	618	0	0	191	0	427	0
Precinct 7873/7865	619	1,688	897	0	0	278	0	619	0
Precinct 7874 - Election Day	50	474	67	0	0	17	0	50	0
Precinct 7874 - Vote By Mail	96	474	143	0	0	47	0	96	0
Precinct 7874	146	474	210	0	0	64	0	146	0
Precinct 7875 - Election Day	52	624	82	0	0	30	0	52	0
Precinct 7875 - Vote By Mail	119	624	179	0	1	59	0	119	0
Precinct 7875	171	624	261	0	1	89	0	171	0
Precinct 7876 - Election Day	47	523	68	0	0	21	0	47	0
Precinct 7876 - Vote By Mail	117	523	182	0	0	65	0	117	0
Precinct 7876	164	523	250	0	0	86	0	164	0
Precinct 7902/7904 - Election Day	117	1,729	212	0	0	95	0	117	0
Precinct 7902/7904 - Vote By Mail	249	1,729	392	0	0	143	0	249	0
Precinct 7902/7904	366	1,729	604	0	0	238	0	366	0
Precinct 7903 - Election Day	68	826	112	0	0	44	0	68	0
Precinct 7903 - Vote By Mail	135	826	219	0	0	84	0	135	0
Precinct 7903	203	826	331	0	0	128	0	203	0
Precinct 7905 - Election Day	86	880	135	0	0	49	0	86	0
Precinct 7905 - Vote By Mail	174	880	263	0	0	89	0	174	0
Precinct 7905	260	880	398	0	0	138	0	260	0
Precinct 7906 - Election Day	58	757	104	0	0	46	0	58	0
Precinct 7906 - Vote By Mail	116	757	174	0	0	58	0	116	0
Precinct 7906	174	757	278	0	0	104	0	174	0
Precinct 7908/7907 - Election Day	154	1,907	267	0	0	113	0	154	0
Precinct 7908/7907 - Vote By Mail	352	1,907	514	0	0	162	0	352	0
Precinct 7908/7907	506	1,907	781	0	0	275	0	506	0
Precinct 7909 - Election Day	71	718	120	0	0	49	0	71	0
Precinct 7909 - Vote By Mail	136	718	198	0	0	62	0	136	0
Precinct 7909	207	718	318	0	0	111	0	207	0
Precinct 7911 - Election Day	80	845	122	0	0	42	0	80	0
Precinct 7911 - Vote By Mail	120	845	197	0	0	77	0	120	0
Precinct 7911	200	845	319	0	0	119	0	200	0
Precinct 7912/7913 - Election Day	186	1,940	319	0	0	133	0	186	0
Precinct 7912/7913 - Vote By Mail	310	1,940	488	0	0	178	0	310	0
Precinct 7912/7913	496	1,940	807	0	0	311	0	496	0
Precinct 7915/7914 - Election Day	166	1,692	283	0	0	117	0	166	0
Precinct 7915/7914 - Vote By Mail	271	1,692	427	0	0	156	0	271	0
Precinct 7915/7914	437	1,692	710	0	0	273	0	437	0
Precinct 7916 - Election Day	85	842	145	0	0	60	0	85	0
Precinct 7916 - Vote By Mail	153	842	236	0	0	83	0	153	0
Precinct 7916	238	842	381	0	0	143	0	238	0
Precinct 7917/7919 - Election Day	178	1,823	298	0	1	119	0	178	0
Precinct 7917/7919 - Vote By Mail	283	1,823	461	0	0	178	0	283	0
Precinct 7917/7919	461	1,823	759	0	1	297	0	461	0
Precinct 7918 - Election Day	74	798	129	0	0	55	0	74	0
Precinct 7918 - Vote By Mail	123	798	194	0	0	71	0	123	0
Precinct 7918	197	798	323	0	0	126	0	197	0
Precinct 7921/7922 - Election Day	136	1,729	219	0	0	83	0	136	0
Precinct 7921/7922 - Vote By Mail	286	1,729	436	0	0	150	0	286	0
Precinct 7921/7922	422	1,729	655	0	0	233	0	422	0
Precinct 7923/7924 - Election Day	139	1,708	233	0	1	93	0	139	0
Precinct 7923/7924 - Vote By Mail	278	1,708	432	0	0	154	0	278	0
Precinct 7923/7924	417	1,708	665	0	1	247	0	417	0
Precinct 7925 - Election Day	40	530	74	0	0	34	0	40	0
Precinct 7925 - Vote By Mail	95	530	165	0	0	70	0	95	0
Precinct 7925	135	530	239	0	0	104	0	135	0
Precinct 7926 - Election Day	94	783	143	0	0	49	0	94	0
Precinct 7926 - Vote By Mail	140	783	233	0	0	93	0	140	0
Precinct 7926	234	783	376	0	0	142	0	234	0
Precinct 7928/7927 - Election Day	200	1,661	310	0	0	110	0	200	0
Precinct 7928/7927 - Vote By Mail	344	1,661	532	0	0	187	0	345	1
Precinct 7928/7927	544	1,661	842	0	0	297	0	545	1
Precinct 7929 - Election Day	103	830	151	0	0	48	0	103	0
Precinct 7929 - Vote By Mail	219	830	311	0	0	92	0	219	0
Precinct 7929	322	830	462	0	0	140	0	322	0
Precinct 7931 - Election Day	81	742	116	0	0	35	0	81	0
Precinct 7931 - Vote By Mail	202	742	284	0	0	82	0	202	0
Precinct 7931	283	742	400	0	0	117	0	283	0
Precinct 7932 - Election Day	63	547	84	0	0	21	0	63	0
Precinct 7932 - Vote By Mail	124	547	177	0	0	53	0	124	0
Precinct 7932	187	547	261	0	0	74	0	187	0
Precinct 7933 MB - Election Day	0	7	0	0	0	0	0	0	0
Precinct 7933 MB - Vote By Mail	3	7	4	0	0	1	0	3	0
Precinct 7933 MB	3	7	4	0	0	1	0	3	0
Precinct 7934 - Election Day	88	866	125	0	0	37	0	88	0
Precinct 7934 - Vote By Mail	197	866	304	0	0	107	0	197	0
Precinct 7934	285	866	429	0	0	144	0	285	0
Precinct 7935 - Election Day	117	927	173	0	0	56	0	117	0
Precinct 7935 - Vote By Mail	208	927	310	0	0	102	0	208	0
Precinct 7935	325	927	483	0	0	158	0	325	0
Precinct 7936/7939 - Election Day	222	1,508	340	0	0	118	0	222	0
Precinct 7936/7939 - Vote By Mail	300	1,508	452	0	0	152	0	300	0
Precinct 7936/7939	522	1,508	792	0	0	270	0	522	0
Precinct 7937 - Election Day	103	899	155	0	0	52	0	103	0
Precinct 7937 - Vote By Mail	209	899	300	0	0	91	0	209	0
Precinct 7937	312	899	455	0	0	143	0	312	0
Precinct 7938 - Election Day	75	758	114	0	0	39	0	75	0
Precinct 7938 - Vote By Mail	123	758	203	0	0	80	0	123	0
Precinct 7938	198	758	317	0	0	119	0	198	0
Precinct 7941 - Election Day	87	752	117	0	0	30	0	87	0
Precinct 7941 - Vote By Mail	136	752	223	0	0	87	0	136	0
Precinct 7941	223	752	340	0	0	117	0	223	0
Precinct 7942 - Election Day	66	923	92	0	0	26	0	66	0
Precinct 7942 - Vote By Mail	186	923	267	0	0	81	0	186	0
Precinct 7942	252	923	359	0	0	107	0	252	0
Precinct 7943/7944 - Election Day	172	1,675	262	0	0	90	0	172	0
Precinct 7943/7944 - Vote By Mail	360	1,675	514	0	0	154	0	360	0
Precinct 7943/7944	532	1,675	776	0	0	244	0	532	0
Precinct 7945 - Election Day	49	940	67	0	0	18	0	49	0
Precinct 7945 - Vote By Mail	192	940	264	0	0	72	0	192	0
Precinct 7945	241	940	331	0	0	90	0	241	0
Precinct 7946/7949 - Election Day	98	1,553	132	0	0	34	0	98	0
Precinct 7946/7949 - Vote By Mail	351	1,553	470	0	0	119	0	351	0
Precinct 7946/7949	449	1,553	602	0	0	153	0	449	0
Precinct 7947 - Election Day	50	960	71	0	0	21	0	50	0
Precinct 7947 - Vote By Mail	206	960	290	0	0	84	0	206	0
Precinct 7947	256	960	361	0	0	105	0	256	0
Precinct 7948 - Election Day	60	918	94	0	0	34	0	60	0
Precinct 7948 - Vote By Mail	209	918	291	0	0	82	0	209	0
Precinct 7948	269	918	385	0	0	116	0	269	0
Precinct 7951/7955 - Election Day	108	1,818	138	0	0	30	0	108	0
Precinct 7951/7955 - Vote By Mail	422	1,818	589	0	1	166	0	422	0
Precinct 7951/7955	530	1,818	727	0	1	196	0	530	0
Precinct 7953 - Election Day	61	824	83	0	0	22	0	61	0
Precinct 7953 - Vote By Mail	190	824	245	0	0	55	0	190	0
Precinct 7953	251	824	328	0	0	77	0	251	0
Precinct 7954 MB - Election Day	0	1	0	0	0	0	0	0	0
Precinct 7954 MB - Vote By Mail	1	1	1	0	0	0	0	1	0
Precinct 7954 MB	1	1	1	0	0	0	0	1	0
Precinct 7956/7952 - Election Day	95	1,759	120	0	0	25	0	95	0
Precinct 7956/7952 - Vote By Mail	323	1,759	461	0	0	138	0	323	0
Precinct 7956/7952	418	1,759	581	0	0	163	0	418	0
Precinct 7957 - Election Day	54	665	74	0	0	20	0	54	0
Precinct 7957 - Vote By Mail	150	665	209	0	0	59	0	150	0
Precinct 7957	204	665	283	0	0	79	0	204	0
Precinct 7958 MB - Election Day	2	301	6	0	0	4	0	2	0
Precinct 7958 MB - Vote By Mail	54	301	91	0	0	37	0	54	0
Precinct 7958 MB	56	301	97	0	0	41	0	56	0
Precinct 7959/7901 - Election Day	80	1,198	127	0	0	47	0	80	0
Precinct 7959/7901 - Vote By Mail	202	1,198	277	0	0	75	0	202	0
Precinct 7959/7901	282	1,198	404	0	0	122	0	282	0
Precinct 9001 MB - Election Day	1	286	3	0	0	2	0	1	0
Precinct 9001 MB - Vote By Mail	78	286	90	0	0	12	0	78	0
Precinct 9001 MB	79	286	93	0	0	14	0	79	0
Precinct 9103 - Election Day	97	946	125	0	0	28	0	97	0
Precinct 9103 - Vote By Mail	178	946	255	0	0	77	0	178	0
Precinct 9103	275	946	380	0	0	105	0	275	0
Precinct 9104 - Election Day	73	993	100	0	0	27	0	73	0
Precinct 9104 - Vote By Mail	217	993	294	0	0	77	0	217	0
Precinct 9104	290	993	394	0	0	104	0	290	0
Precinct 9105/9107 - Election Day	165	1,747	223	0	0	58	0	165	0
Precinct 9105/9107 - Vote By Mail	360	1,747	511	0	0	151	0	360	0
Precinct 9105/9107	525	1,747	734	0	0	209	0	525	0
Precinct 9106 - Election Day	105	935	135	0	0	30	0	105	0
Precinct 9106 - Vote By Mail	237	935	296	0	0	59	0	237	0
Precinct 9106	342	935	431	0	0	89	0	342	0
Precinct 9109/9108 - Election Day	180	1,651	244	0	0	64	0	180	0
Precinct 9109/9108 - Vote By Mail	317	1,651	436	0	0	119	0	317	0
Precinct 9109/9108	497	1,651	680	0	0	183	0	497	0
Precinct 9111 - Election Day	81	809	105	0	0	24	0	81	0
Precinct 9111 - Vote By Mail	145	809	208	0	0	63	0	145	0
Precinct 9111	226	809	313	0	0	87	0	226	0
Precinct 9113 - Election Day	127	997	164	0	0	37	0	127	0
Precinct 9113 - Vote By Mail	226	997	317	0	0	91	0	226	0
Precinct 9113	353	997	481	0	0	128	0	353	0
Precinct 9114/9112 - Election Day	167	1,806	237	0	0	70	0	167	0
Precinct 9114/9112 - Vote By Mail	369	1,806	522	0	0	153	0	369	0
Precinct 9114/9112	536	1,806	759	0	0	223	0	536	0
Precinct 9116/9115 - Election Day	157	1,822	251	0	0	94	0	157	0
Precinct 9116/9115 - Vote By Mail	354	1,822	508	0	0	154	0	354	0
Precinct 9116/9115	511	1,822	759	0	0	248	0	511	0
Precinct 9117/9101 - Election Day	192	1,691	253	0	0	61	0	192	0
Precinct 9117/9101 - Vote By Mail	397	1,691	533	0	0	136	0	397	0
Precinct 9117/9101	589	1,691	786	0	0	197	0	589	0
Precinct 9118/9102 - Election Day	159	1,938	229	0	0	70	0	159	0
Precinct 9118/9102 - Vote By Mail	389	1,938	533	0	0	144	0	389	0
Precinct 9118/9102	548	1,938	762	0	0	214	0	548	0
Precinct 9119 - Election Day	67	899	91	0	0	24	0	67	0
Precinct 9119 - Vote By Mail	212	899	302	0	0	90	0	212	0
Precinct 9119	279	899	393	0	0	114	0	279	0
Precinct 9122/9121 - Election Day	130	1,865	190	0	0	60	0	130	0
Precinct 9122/9121 - Vote By Mail	386	1,865	536	0	0	150	0	386	0
Precinct 9122/9121	516	1,865	726	0	0	210	0	516	0
Precinct 9124/9142 - Election Day	147	1,843	218	0	0	71	0	147	0
Precinct 9124/9142 - Vote By Mail	369	1,843	541	0	0	172	0	369	0
Precinct 9124/9142	516	1,843	759	0	0	243	0	516	0
Precinct 9125 - Election Day	73	879	97	0	0	24	0	73	0
Precinct 9125 - Vote By Mail	186	879	266	0	0	80	0	186	0
Precinct 9125	259	879	363	0	0	104	0	259	0
Precinct 9127/9126 - Election Day	207	1,974	273	0	0	66	0	207	0
Precinct 9127/9126 - Vote By Mail	437	1,974	634	0	1	196	0	437	0
Precinct 9127/9126	644	1,974	907	0	1	262	0	644	0
Precinct 9128 - Election Day	100	814	125	0	0	25	0	100	0
Precinct 9128 - Vote By Mail	189	814	268	0	0	79	0	189	0
Precinct 9128	289	814	393	0	0	104	0	289	0
Precinct 9129/9131 - Election Day	126	1,459	176	0	0	50	0	126	0
Precinct 9129/9131 - Vote By Mail	331	1,459	462	0	0	131	0	331	0
Precinct 9129/9131	457	1,459	638	0	0	181	0	457	0
Precinct 9132 - Election Day	65	805	105	0	0	40	0	65	0
Precinct 9132 - Vote By Mail	162	805	221	0	0	59	0	162	0
Precinct 9132	227	805	326	0	0	99	0	227	0
Precinct 9133/9148 - Election Day	199	1,984	271	0	1	71	0	199	0
Precinct 9133/9148 - Vote By Mail	414	1,984	594	0	0	180	0	414	0
Precinct 9133/9148	613	1,984	865	0	1	251	0	613	0
Precinct 9134 - Election Day	55	891	87	0	0	32	0	55	0
Precinct 9134 - Vote By Mail	177	891	246	0	0	69	0	177	0
Precinct 9134	232	891	333	0	0	101	0	232	0
Precinct 9135 - Election Day	81	802	114	0	0	33	0	81	0
Precinct 9135 - Vote By Mail	166	802	230	0	0	64	0	166	0
Precinct 9135	247	802	344	0	0	97	0	247	0
Precinct 9136 - Election Day	86	900	119	0	0	33	0	86	0
Precinct 9136 - Vote By Mail	176	900	251	0	0	75	0	176	0
Precinct 9136	262	900	370	0	0	108	0	262	0
Precinct 9137 - Election Day	81	999	115	0	0	34	0	81	0
Precinct 9137 - Vote By Mail	187	999	278	0	0	91	0	187	0
Precinct 9137	268	999	393	0	0	125	0	268	0
Precinct 9138 - Election Day	77	929	101	0	0	24	0	77	0
Precinct 9138 - Vote By Mail	210	929	282	0	0	72	0	210	0
Precinct 9138	287	929	383	0	0	96	0	287	0
Precinct 9139 - Election Day	82	986	105	0	0	23	0	82	0
Precinct 9139 - Vote By Mail	256	986	340	0	0	84	0	256	0
Precinct 9139	338	986	445	0	0	107	0	338	0
Precinct 9141/9123 - Election Day	169	1,803	232	0	0	63	0	169	0
Precinct 9141/9123 - Vote By Mail	386	1,803	545	0	0	159	0	386	0
Precinct 9141/9123	555	1,803	777	0	0	222	0	555	0
Precinct 9143 - Election Day	84	895	120	0	0	36	0	84	0
Precinct 9143 - Vote By Mail	208	895	279	0	0	71	0	208	0
Precinct 9143	292	895	399	0	0	107	0	292	0
Precinct 9144 - Election Day	86	958	141	0	0	55	0	86	0
Precinct 9144 - Vote By Mail	209	958	288	0	0	79	0	209	0
Precinct 9144	295	958	429	0	0	134	0	295	0
Precinct 9145 - Election Day	91	851	124	0	0	33	0	91	0
Precinct 9145 - Vote By Mail	190	851	274	0	0	84	0	190	0
Precinct 9145	281	851	398	0	0	117	0	281	0
Precinct 9146/9147 - Election Day	188	1,837	275	0	0	87	0	188	0
Precinct 9146/9147 - Vote By Mail	368	1,837	555	0	0	187	0	368	0
Precinct 9146/9147	556	1,837	830	0	0	274	0	556	0
Precinct 9149 - Election Day	109	957	150	0	0	41	0	109	0
Precinct 9149 - Vote By Mail	198	957	276	0	0	78	0	198	0
Precinct 9149	307	957	426	0	0	119	0	307	0
Precinct 9152/9151 - Election Day	134	1,630	167	0	0	33	0	134	0
Precinct 9152/9151 - Vote By Mail	299	1,630	400	0	0	101	0	299	0
Precinct 9152/9151	433	1,630	567	0	0	134	0	433	0
Precinct 9201 - Election Day	75	950	111	0	0	36	0	75	0
Precinct 9201 - Vote By Mail	143	950	208	0	0	65	0	143	0
Precinct 9201	218	950	319	0	0	101	0	218	0
Precinct 9202 - Election Day	88	977	116	0	0	28	0	88	0
Precinct 9202 - Vote By Mail	145	977	207	0	0	62	0	145	0
Precinct 9202	233	977	323	0	0	90	0	233	0
Precinct 9203 - Election Day	55	984	78	0	0	23	0	55	0
Precinct 9203 - Vote By Mail	182	984	251	0	0	69	0	182	0
Precinct 9203	237	984	329	0	0	92	0	237	0
Precinct 9204 - Election Day	82	855	109	0	0	27	0	82	0
Precinct 9204 - Vote By Mail	152	855	208	0	0	56	0	152	0
Precinct 9204	234	855	317	0	0	83	0	234	0
Precinct 9205/9212 - Election Day	111	1,484	141	0	0	30	0	111	0
Precinct 9205/9212 - Vote By Mail	267	1,484	353	0	0	86	0	267	0
Precinct 9205/9212	378	1,484	494	0	0	116	0	378	0
Precinct 9208/9207 - Election Day	132	1,935	178	0	0	46	0	132	0
Precinct 9208/9207 - Vote By Mail	363	1,935	484	0	0	121	0	363	0
Precinct 9208/9207	495	1,935	662	0	0	167	0	495	0
Precinct 9209 - Election Day	63	742	85	0	0	22	0	63	0
Precinct 9209 - Vote By Mail	137	742	178	0	0	41	0	137	0
Precinct 9209	200	742	263	0	0	63	0	200	0
Precinct 9211/9206 - Election Day	118	1,788	166	0	0	48	0	118	0
Precinct 9211/9206 - Vote By Mail	308	1,788	465	0	0	157	0	308	0
Precinct 9211/9206	426	1,788	631	0	0	205	0	426	0
Precinct 9213 - Election Day	70	927	85	0	0	15	0	70	0
Precinct 9213 - Vote By Mail	178	927	241	0	0	63	0	178	0
Precinct 9213	248	927	326	0	0	78	0	248	0
Precinct 9214 - Election Day	48	633	66	0	0	18	0	48	0
Precinct 9214 - Vote By Mail	131	633	177	0	0	46	0	131	0
Precinct 9214	179	633	243	0	0	64	0	179	0
Precinct 9215 - Election Day	55	641	79	0	0	24	0	55	0
Precinct 9215 - Vote By Mail	117	641	171	0	0	54	0	117	0
Precinct 9215	172	641	250	0	0	78	0	172	0
Precinct 9216 - Election Day	66	818	82	0	0	16	0	66	0
Precinct 9216 - Vote By Mail	125	818	171	0	0	46	0	125	0
Precinct 9216	191	818	253	0	0	62	0	191	0
Precinct 9217 - Election Day	53	704	64	0	0	11	0	53	0
Precinct 9217 - Vote By Mail	119	704	163	0	0	44	0	119	0
Precinct 9217	172	704	227	0	0	55	0	172	0
Precinct 9218 - Election Day	65	805	87	0	0	22	0	65	0
Precinct 9218 - Vote By Mail	143	805	201	0	0	58	0	143	0
Precinct 9218	208	805	288	0	0	80	0	208	0
Precinct 9219/9225 - Election Day	138	1,727	186	0	0	48	0	138	0
Precinct 9219/9225 - Vote By Mail	280	1,727	383	0	0	103	0	280	0
Precinct 9219/9225	418	1,727	569	0	0	151	0	418	0
Precinct 9221 - Election Day	58	638	72	0	0	14	0	58	0
Precinct 9221 - Vote By Mail	159	638	243	0	0	84	0	159	0
Precinct 9221	217	638	315	0	0	98	0	217	0
Precinct 9222 - Election Day	68	886	91	0	0	23	0	68	0
Precinct 9222 - Vote By Mail	188	886	261	0	0	73	0	188	0
Precinct 9222	256	886	352	0	0	96	0	256	0
Precinct 9223 - Election Day	43	651	53	0	0	10	0	43	0
Precinct 9223 - Vote By Mail	144	651	188	0	0	44	0	144	0
Precinct 9223	187	651	241	0	0	54	0	187	0
Precinct 9224 - Election Day	81	928	108	0	0	27	0	81	0
Precinct 9224 - Vote By Mail	210	928	270	0	0	60	0	210	0
Precinct 9224	291	928	378	0	0	87	0	291	0
Precinct 9226 - Election Day	64	892	85	0	0	21	0	64	0
Precinct 9226 - Vote By Mail	174	892	232	0	0	58	0	174	0
Precinct 9226	238	892	317	0	0	79	0	238	0
Precinct 9227 - Election Day	62	713	83	0	0	21	0	62	0
Precinct 9227 - Vote By Mail	216	713	291	0	0	75	0	216	0
Precinct 9227	278	713	374	0	0	96	0	278	0
Precinct 9228 - Election Day	68	740	89	0	0	21	0	68	0
Precinct 9228 - Vote By Mail	184	740	242	0	0	58	0	184	0
Precinct 9228	252	740	331	0	0	79	0	252	0
Precinct 9229 - Election Day	75	574	93	0	0	18	0	75	0
Precinct 9229 - Vote By Mail	135	574	190	0	0	55	0	135	0
Precinct 9229	210	574	283	0	0	73	0	210	0
Precinct 9231 - Election Day	117	954	157	0	0	40	0	117	0
Precinct 9231 - Vote By Mail	192	954	273	0	0	81	0	192	0
Precinct 9231	309	954	430	0	0	121	0	309	0
Precinct 9232 - Election Day	71	716	92	0	0	21	0	71	0
Precinct 9232 - Vote By Mail	186	716	237	0	0	51	0	186	0
Precinct 9232	257	716	329	0	0	72	0	257	0
Precinct 9233 - Election Day	63	814	77	0	0	14	0	63	0
Precinct 9233 - Vote By Mail	196	814	260	0	0	64	0	196	0
Precinct 9233	259	814	337	0	0	78	0	259	0
Precinct 9234 - Election Day	65	747	84	0	0	19	0	65	0
Precinct 9234 - Vote By Mail	158	747	216	0	0	58	0	158	0
Precinct 9234	223	747	300	0	0	77	0	223	0
Precinct 9235/9243 - Election Day	122	1,439	164	0	0	42	0	122	0
Precinct 9235/9243 - Vote By Mail	324	1,439	443	0	0	119	0	324	0
Precinct 9235/9243	446	1,439	607	0	0	161	0	446	0
Precinct 9236 - Election Day	54	659	65	0	0	11	0	54	0
Precinct 9236 - Vote By Mail	138	659	203	0	0	65	0	138	0
Precinct 9236	192	659	268	0	0	76	0	192	0
Precinct 9237 - Election Day	71	874	86	0	0	15	0	71	0
Precinct 9237 - Vote By Mail	194	874	265	0	0	71	0	194	0
Precinct 9237	265	874	351	0	0	86	0	265	0
Precinct 9238/9246 - Election Day	126	1,769	161	0	0	35	0	126	0
Precinct 9238/9246 - Vote By Mail	390	1,769	523	0	0	133	0	390	0
Precinct 9238/9246	516	1,769	684	0	0	168	0	516	0
Precinct 9239 - Election Day	65	866	78	0	0	13	0	65	0
Precinct 9239 - Vote By Mail	202	866	286	0	0	84	0	202	0
Precinct 9239	267	866	364	0	0	97	0	267	0
Precinct 9241 - Election Day	77	968	95	0	0	18	0	77	0
Precinct 9241 - Vote By Mail	221	968	281	0	0	60	0	221	0
Precinct 9241	298	968	376	0	0	78	0	298	0
Precinct 9242/9247 - Election Day	116	1,845	158	0	0	42	0	116	0
Precinct 9242/9247 - Vote By Mail	398	1,845	507	0	0	109	0	398	0
Precinct 9242/9247	514	1,845	665	0	0	151	0	514	0
Precinct 9244 - Election Day	83	881	99	0	0	16	0	83	0
Precinct 9244 - Vote By Mail	166	881	225	0	0	59	0	166	0
Precinct 9244	249	881	324	0	0	75	0	249	0
Precinct 9245/7206 - Election Day	98	1,081	131	0	0	33	0	98	0
Precinct 9245/7206 - Vote By Mail	210	1,081	276	0	0	66	0	210	0
Precinct 9245/7206	308	1,081	407	0	0	99	0	308	0
Precinct 9248 - Election Day	71	870	88	0	0	17	0	71	0
Precinct 9248 - Vote By Mail	161	870	240	0	0	79	0	161	0
Precinct 9248	232	870	328	0	0	96	0	232	0
Precinct 9251/9249 - Election Day	206	1,887	283	0	0	77	0	206	0
Precinct 9251/9249 - Vote By Mail	403	1,887	558	0	0	155	0	403	0
Precinct 9251/9249	609	1,887	841	0	0	232	0	609	0
Precinct 9252 - Election Day	70	918	83	0	0	13	0	70	0
Precinct 9252 - Vote By Mail	201	918	284	0	0	83	0	201	0
Precinct 9252	271	918	367	0	0	96	0	271	0
Precinct 9253 - Election Day	81	752	102	0	0	21	0	81	0
Precinct 9253 - Vote By Mail	180	752	237	0	0	57	0	180	0
Precinct 9253	261	752	339	0	0	78	0	261	0
Precinct 9255/9258 - Election Day	123	1,236	169	0	0	46	0	123	0
Precinct 9255/9258 - Vote By Mail	246	1,236	349	0	0	103	0	246	0
Precinct 9255/9258	369	1,236	518	0	0	149	0	369	0
Precinct 9256/9254 - Election Day	114	1,373	150	0	0	36	0	114	0
Precinct 9256/9254 - Vote By Mail	303	1,373	406	0	0	103	0	303	0
Precinct 9256/9254	417	1,373	556	0	0	139	0	417	0
Precinct 9257 MB - Election Day	2	311	3	0	0	1	0	2	0
Precinct 9257 MB - Vote By Mail	80	311	124	0	0	44	0	80	0
Precinct 9257 MB	82	311	127	0	0	45	0	82	0
Precinct 9401 - Election Day	117	1,015	159	0	0	42	0	117	0
Precinct 9401 - Vote By Mail	168	1,015	258	0	0	90	0	168	0
Precinct 9401	285	1,015	417	0	0	132	0	285	0
Precinct 9402 - Election Day	97	988	148	0	0	51	0	97	0
Precinct 9402 - Vote By Mail	186	988	286	0	0	100	0	186	0
Precinct 9402	283	988	434	0	0	151	0	283	0
Precinct 9404/9403 - Election Day	135	1,814	206	0	0	71	0	135	0
Precinct 9404/9403 - Vote By Mail	333	1,814	499	0	1	165	0	333	0
Precinct 9404/9403	468	1,814	705	0	1	236	0	468	0
Precinct 9405 - Election Day	90	770	113	0	0	23	0	90	0
Precinct 9405 - Vote By Mail	160	770	223	0	0	63	0	160	0
Precinct 9405	250	770	336	0	0	86	0	250	0
Precinct 9406 - Election Day	91	873	133	0	0	42	0	91	0
Precinct 9406 - Vote By Mail	150	873	228	0	0	78	0	150	0
Precinct 9406	241	873	361	0	0	120	0	241	0
Precinct 9407 - Election Day	95	887	126	0	0	31	0	95	0
Precinct 9407 - Vote By Mail	171	887	242	0	0	71	0	171	0
Precinct 9407	266	887	368	0	0	102	0	266	0
Precinct 9408 - Election Day	79	834	129	0	0	50	0	79	0
Precinct 9408 - Vote By Mail	140	834	204	0	0	64	0	140	0
