Subtotal Area	IVY LEE	Registered Voters	Ballots Cast	Ballots Rejected	Overvotes	Undervotes	Total Votes	Write-in Votes
Precinct 9732 MB - Election Day	0	71	0	0	0	0	0	0
Precinct 9732 MB - Vote By Mail	29	71	39	0	0	10	29	0
Precinct 9732 MB	29	71	39	0	0	10	29	0
Precinct 9733 MB - Election Day	3	235	5	0	0	2	3	0
Precinct 9733 MB - Vote By Mail	89	235	115	0	0	26	89	0
Precinct 9733 MB	92	235	120	0	0	28	92	0
Precinct 9734/9735 - Election Day	145	1,389	188	0	0	43	145	0
Precinct 9734/9735 - Vote By Mail	392	1,389	534	0	0	142	392	0
Precinct 9734/9735	537	1,389	722	0	0	185	537	0
Precinct 9737/9736 - Election Day	160	1,518	204	0	0	44	160	0
Precinct 9737/9736 - Vote By Mail	415	1,518	574	0	0	159	415	0
Precinct 9737/9736	575	1,518	778	0	0	203	575	0
Precinct 9738 - Election Day	40	813	48	0	0	8	40	0
Precinct 9738 - Vote By Mail	180	813	229	0	0	49	180	0
Precinct 9738	220	813	277	0	0	57	220	0
Precinct 9739 - Election Day	58	768	69	0	0	11	58	0
Precinct 9739 - Vote By Mail	142	768	177	0	0	35	142	0
Precinct 9739	200	768	246	0	0	46	200	0
Precinct 9741 - Election Day	57	497	65	0	0	8	57	0
Precinct 9741 - Vote By Mail	24	497	25	0	0	1	24	0
Precinct 9741	81	497	90	0	0	9	81	0
Precinct 9742 - Election Day	72	679	95	0	0	23	72	0
Precinct 9742 - Vote By Mail	112	679	153	0	0	41	112	0
Precinct 9742	184	679	248	0	0	64	184	0
Precinct 9743 - Election Day	103	1,138	122	0	0	19	103	0
Precinct 9743 - Vote By Mail	240	1,138	297	0	0	57	240	0
Precinct 9743	343	1,138	419	0	0	76	343	0
Precinct 9744 - Election Day	79	907	112	0	0	33	79	0
Precinct 9744 - Vote By Mail	151	907	205	0	1	53	151	0
Precinct 9744	230	907	317	0	1	86	230	0
Precinct 9745 - Election Day	88	973	109	0	0	21	88	0
Precinct 9745 - Vote By Mail	173	973	212	0	2	37	173	0
Precinct 9745	261	973	321	0	2	58	261	0
Precinct 9748 - Election Day	69	910	98	0	0	29	69	0
Precinct 9748 - Vote By Mail	224	910	313	0	2	87	224	0
Precinct 9748	293	910	411	0	2	116	293	0
Precinct 9749/9747 - Election Day	181	1,871	214	0	0	33	181	0
Precinct 9749/9747 - Vote By Mail	374	1,871	491	0	0	117	374	0
Precinct 9749/9747	555	1,871	705	0	0	150	555	0
Precinct 9751 - Election Day	101	1,038	136	0	0	35	101	0
Precinct 9751 - Vote By Mail	266	1,038	353	0	1	86	266	0
Precinct 9751	367	1,038	489	0	1	121	367	0
Precinct 9752 - Election Day	67	696	90	0	0	23	67	0
Precinct 9752 - Vote By Mail	194	696	267	0	0	73	194	0
Precinct 9752	261	696	357	0	0	96	261	0
Precinct 9753 - Election Day	79	764	93	0	0	14	79	0
Precinct 9753 - Vote By Mail	190	764	239	0	0	49	190	0
Precinct 9753	269	764	332	0	0	63	269	0
Precinct 9754 - Election Day	94	686	111	0	0	17	94	0
Precinct 9754 - Vote By Mail	203	686	241	0	0	38	203	0
Precinct 9754	297	686	352	0	0	55	297	0
Precinct 9755 - Election Day	67	567	76	0	0	9	67	0
Precinct 9755 - Vote By Mail	131	567	170	0	0	39	131	0
Precinct 9755	198	567	246	0	0	48	198	0
Precinct 9756 - Election Day	56	940	69	0	0	13	56	0
Precinct 9756 - Vote By Mail	195	940	267	0	0	72	195	0
Precinct 9756	251	940	336	0	0	85	251	0
Precinct 9801 - Election Day	43	404	51	0	0	8	43	0
Precinct 9801 - Vote By Mail	110	404	135	0	0	25	110	0
Precinct 9801	153	404	186	0	0	33	153	0
Precinct 9900 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 9900 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 9900 MB	0	0	0	0	0	0	0	0
Precinct 9901 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 9901 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 9901 MB	0	0	0	0	0	0	0	0
Precinct 9902 MB - Election Day	0	0	0	0	0	0	0	0
Precinct 9902 MB - Vote By Mail	0	0	0	0	0	0	0	0
Precinct 9902 MB	0	0	0	0	0	0	0	0
Congressional District 12 - Election Day	42,248	437,850	53,397	0	11	11,138	42,248	0
Congressional District 12 - Vote By Mail	97,627	437,850	129,637	0	34	31,976	97,627	0
Congressional District 12	139,875	437,850	183,034	0	45	43,114	139,875	0
Congressional District 14 - Election Day	4,787	57,200	6,017	0	1	1,229	4,787	0
Congressional District 14 - Vote By Mail	13,196	57,200	17,289	0	9	4,084	13,196	0
Congressional District 14	17,983	57,200	23,306	0	10	5,313	17,983	0
Assembly District 17 - Election Day	27,853	287,476	34,944	0	10	7,081	27,853	0
Assembly District 17 - Vote By Mail	64,524	287,476	85,060	0	24	20,512	64,524	0
Assembly District 17	92,377	287,476	120,004	0	34	27,593	92,377	0
Assembly District 19 - Election Day	19,182	207,574	24,470	0	2	5,286	19,182	0
Assembly District 19 - Vote By Mail	46,299	207,574	61,866	0	19	15,548	46,299	0
Assembly District 19	65,481	207,574	86,336	0	21	20,834	65,481	0
Supervisorial District 1 - Election Day	4,338	42,447	5,464	0	0	1,126	4,338	0
Supervisorial District 1 - Vote By Mail	9,552	42,447	12,584	0	1	3,031	9,552	0
Supervisorial District 1	13,890	42,447	18,048	0	1	4,157	13,890	0
Supervisorial District 2 - Election Day	4,005	49,361	5,273	0	1	1,267	4,005	0
Supervisorial District 2 - Vote By Mail	9,939	49,361	13,967	0	2	4,026	9,939	0
Supervisorial District 2	13,944	49,361	19,240	0	3	5,293	13,944	0
Supervisorial District 3 - Election Day	3,048	38,836	3,913	0	0	865	3,048	0
Supervisorial District 3 - Vote By Mail	8,223	38,836	10,920	0	5	2,692	8,223	0
Supervisorial District 3	11,271	38,836	14,833	0	5	3,557	11,271	0
Supervisorial District 4 - Election Day	3,890	43,341	5,029	0	0	1,139	3,890	0
Supervisorial District 4 - Vote By Mail	9,713	43,341	13,036	0	6	3,317	9,713	0
Supervisorial District 4	13,603	43,341	18,065	0	6	4,456	13,603	0
Supervisorial District 5 - Election Day	6,579	51,976	8,350	0	1	1,770	6,579	0
Supervisorial District 5 - Vote By Mail	12,547	51,976	16,423	0	6	3,870	12,547	0
Supervisorial District 5	19,126	51,976	24,773	0	7	5,640	19,126	0
Supervisorial District 6 - Election Day	2,599	42,510	3,309	0	0	710	2,599	0
Supervisorial District 6 - Vote By Mail	8,373	42,510	11,034	0	4	2,657	8,373	0
Supervisorial District 6	10,972	42,510	14,343	0	4	3,367	10,972	0
Supervisorial District 7 - Election Day	4,873	46,757	6,126	0	0	1,253	4,873	0
Supervisorial District 7 - Vote By Mail	11,720	46,757	15,630	0	6	3,904	11,720	0
Supervisorial District 7	16,593	46,757	21,756	0	6	5,157	16,593	0
Supervisorial District 8 - Election Day	7,306	57,103	9,078	0	2	1,770	7,306	0
Supervisorial District 8 - Vote By Mail	14,859	57,103	19,840	0	1	4,980	14,859	0
Supervisorial District 8	22,165	57,103	28,918	0	3	6,750	22,165	0
Supervisorial District 9 - Election Day	4,797	42,539	5,866	0	3	1,066	4,797	0
Supervisorial District 9 - Vote By Mail	9,371	42,539	12,113	0	3	2,739	9,371	0
Supervisorial District 9	14,168	42,539	17,979	0	6	3,805	14,168	0
Supervisorial District 10 - Election Day	2,864	42,195	3,620	0	4	752	2,864	0
Supervisorial District 10 - Vote By Mail	8,244	42,195	10,772	0	4	2,524	8,244	0
Supervisorial District 10	11,108	42,195	14,392	0	8	3,276	11,108	0
Supervisorial District 11 - Election Day	2,736	37,985	3,386	0	1	649	2,736	0
Supervisorial District 11 - Vote By Mail	8,282	37,985	10,607	0	5	2,320	8,282	0
Supervisorial District 11	11,018	37,985	13,993	0	6	2,969	11,018	0
Bayview/Hunters Point - Election Day	1,228	20,194	1,583	0	4	351	1,228	0
Bayview/Hunters Point - Vote By Mail	3,598	20,194	4,617	0	3	1,016	3,598	0
Bayview/Hunters Point	4,826	20,194	6,200	0	7	1,367	4,826	0
Chinatown - Election Day	1,326	18,045	1,697	0	0	371	1,326	0
Chinatown - Vote By Mail	3,791	18,045	5,028	0	3	1,234	3,791	0
Chinatown	5,117	18,045	6,725	0	3	1,605	5,117	0
Civic Center/Downtown - Election Day	2,046	27,613	2,634	0	0	588	2,046	0
Civic Center/Downtown - Vote By Mail	5,560	27,613	7,171	0	2	1,609	5,560	0
Civic Center/Downtown	7,606	27,613	9,805	0	2	2,197	7,606	0
Diamond Heights - Election Day	919	7,735	1,165	0	0	246	919	0
Diamond Heights - Vote By Mail	2,198	7,735	2,833	0	0	635	2,198	0
Diamond Heights	3,117	7,735	3,998	0	0	881	3,117	0
Excelsior - Election Day	1,980	28,067	2,430	0	0	450	1,980	0
Excelsior - Vote By Mail	6,169	28,067	7,906	0	4	1,733	6,169	0
Excelsior	8,149	28,067	10,336	0	4	2,183	8,149	0
Haight Ashbury - Election Day	2,223	15,102	2,841	0	0	618	2,223	0
Haight Ashbury - Vote By Mail	3,764	15,102	4,922	0	2	1,156	3,764	0
Haight Ashbury	5,987	15,102	7,763	0	2	1,774	5,987	0
Ingleside - Election Day	1,036	13,133	1,290	0	1	253	1,036	0
Ingleside - Vote By Mail	2,792	13,133	3,594	0	1	801	2,792	0
Ingleside	3,828	13,133	4,884	0	2	1,054	3,828	0
Inner Sunset - Election Day	1,294	9,501	1,633	0	0	339	1,294	0
Inner Sunset - Vote By Mail	2,295	9,501	3,045	0	0	750	2,295	0
Inner Sunset	3,589	9,501	4,678	0	0	1,089	3,589	0
Lake Merced - Election Day	655	8,190	825	0	0	170	655	0
Lake Merced - Vote By Mail	1,651	8,190	2,163	0	3	509	1,651	0
Lake Merced	2,306	8,190	2,988	0	3	679	2,306	0
Laurel Heights/Anza Vista - Election Day	1,088	10,551	1,396	0	0	308	1,088	0
Laurel Heights/Anza Vista - Vote By Mail	2,262	10,551	3,053	0	0	791	2,262	0
Laurel Heights/Anza Vista	3,350	10,551	4,449	0	0	1,099	3,350	0
Marina Pacific Heights - Election Day	3,181	41,063	4,206	0	1	1,024	3,181	0
Marina Pacific Heights - Vote By Mail	8,083	41,063	11,339	0	3	3,253	8,083	0
Marina Pacific Heights	11,264	41,063	15,545	0	4	4,277	11,264	0
Mission - Election Day	3,930	32,113	4,830	0	2	898	3,930	0
Mission - Vote By Mail	6,796	32,113	8,757	0	4	1,957	6,796	0
Mission	10,726	32,113	13,587	0	6	2,855	10,726	0
Noe Valley - Election Day	2,000	15,730	2,488	0	0	488	2,000	0
Noe Valley - Vote By Mail	4,075	15,730	5,503	0	0	1,428	4,075	0
Noe Valley	6,075	15,730	7,991	0	0	1,916	6,075	0
North Bernal Heights - Election Day	1,353	9,293	1,671	0	0	318	1,353	0
North Bernal Heights - Vote By Mail	2,337	9,293	3,070	0	0	733	2,337	0
North Bernal Heights	3,690	9,293	4,741	0	0	1,051	3,690	0
North Embarcadero - Election Day	551	5,953	702	0	0	151	551	0
North Embarcadero - Vote By Mail	1,357	5,953	1,840	0	2	481	1,357	0
North Embarcadero	1,908	5,953	2,542	0	2	632	1,908	0
Portola - Election Day	672	9,927	809	0	1	136	672	0
Portola - Vote By Mail	2,223	9,927	2,925	0	0	702	2,223	0
Portola	2,895	9,927	3,734	0	1	838	2,895	0
Potrero Hill - Election Day	1,390	16,717	1,710	0	0	320	1,390	0
Potrero Hill - Vote By Mail	3,664	16,717	4,958	0	1	1,293	3,664	0
Potrero Hill	5,054	16,717	6,668	0	1	1,613	5,054	0
Richmond - Election Day	3,903	37,882	4,924	0	0	1,021	3,903	0
Richmond - Vote By Mail	8,558	37,882	11,288	0	1	2,729	8,558	0
Richmond	12,461	37,882	16,212	0	1	3,750	12,461	0
Sea Cliff/Presidio Heights - Election Day	629	6,193	810	0	0	181	629	0
Sea Cliff/Presidio Heights - Vote By Mail	1,453	6,193	2,004	0	0	551	1,453	0
Sea Cliff/Presidio Heights	2,082	6,193	2,814	0	0	732	2,082	0
South of Bernal Heights - Election Day	897	7,872	1,105	0	1	207	897	0
South of Bernal Heights - Vote By Mail	1,899	7,872	2,488	0	0	589	1,899	0
South of Bernal Heights	2,796	7,872	3,593	0	1	796	2,796	0
South of Market - Election Day	1,405	24,361	1,795	0	0	390	1,405	0
South of Market - Vote By Mail	4,764	24,361	6,405	0	1	1,640	4,764	0
South of Market	6,169	24,361	8,200	0	1	2,030	6,169	0
Sunset - Election Day	3,808	42,750	4,924	0	0	1,116	3,808	0
Sunset - Vote By Mail	9,603	42,750	12,903	0	6	3,294	9,603	0
Sunset	13,411	42,750	17,827	0	6	4,410	13,411	0
Upper Market/Eureka Valley - Election Day	2,497	19,329	3,076	0	1	578	2,497	0
Upper Market/Eureka Valley - Vote By Mail	5,216	19,329	7,010	0	0	1,794	5,216	0
Upper Market/Eureka Valley	7,713	19,329	10,086	0	1	2,372	7,713	0
Visitation Valley - Election Day	377	7,912	488	0	0	111	377	0
Visitation Valley - Vote By Mail	1,521	7,912	1,962	0	1	440	1,521	0
Visitation Valley	1,898	7,912	2,450	0	1	551	1,898	0
West of Twin Peaks - Election Day	3,622	33,087	4,577	0	0	955	3,622	0
West of Twin Peaks - Vote By Mail	8,865	33,087	11,862	0	3	2,994	8,865	0
West of Twin Peaks	12,487	33,087	16,439	0	3	3,949	12,487	0
Western Addition - Election Day	3,025	26,737	3,805	0	1	779	3,025	0
Western Addition - Vote By Mail	6,329	26,737	8,280	0	3	1,948	6,329	0
Western Addition	9,354	26,737	12,085	0	4	2,727	9,354	0
